"...1","year","Autres impôts, taxes et versements assimilés","Ventes de marchandises","Production vendue biens","Production vendue services","Chiffres d’affaires nets","Production stockée","Production immobilisée","Subventions d’exploitation","Reprises sur amortissements et provisions, transfert de charges","Autres produits","Total des produits d’exploitation","Achats de marchandises (y compris droits de douane)","Variation de stock (marchandises)","Achats de matières premières et autres approvisionnements","Variation de stock (matières premières et approvisionnements)","Autres achats et charges externes","Impôts, taxes et versements assimilés","Salaires et traitements","Charges sociales","Autres charges","Total des charges d’exploitation","Résultat d'exploitation","Bénéfice attribué ou perte transférée","Perte supportée ou bénéfice transféré","Produits financiers de participations","Produits des autres valeurs mobilières et créances de l’actif immobilisé","Autres intérêts et produits assimilés","Reprises sur provisions et transferts de charges financier","Différences positives de change","Produits nets sur cessions de valeurs mobilières de placement","Total des produits financiers","Dotations financières sur amortissements et provisions","Intérêts et charges assimilées","Différences négatives de change","Charges nettes sur cessions de valeurs mobilières de placement","Total des charges financières","Résultat financier","Résultat en cours avant impôts","Produits exceptionnels sur opérations de gestion","Produits exceptionnels sur opérations en capital","Reprises sur provisions et transferts de charges exceptionnel","Total des produits exceptionnels","Charges exceptionnelles sur opérations de gestion","Charges exceptionnelles sur opérations en capital","Dotations exceptionnelles aux amortissements et provisions","Total des charges exceptionnelles","Résultat exceptionnel","Participation des salariés aux résultats de l’entreprise","Impôts sur les bénéfices","Total des produits","Total des charges","Bénéfices ou perte (Total des produits ‐ Total des charges)","Impôts différés (compte de résultat)","Résultat net des sociétés mises en équivalence","Résultat net des entreprises intégrées","Résultat Groupe (Résultat net consolidé)","Part des intérêts minoritaires (Résultat hors groupe)","Résultat net part du groupe (part de la société mère)","Rémunération d’intermédiaires et honoraires (hors rétrocessions)","Location, charges locatives et de copropriété","Effectif moyen du personnel","Sous‐traitance","Personnel extérieur à l’entreprise","Rétrocessions d’honoraires, commissions et courtages","Taxe professionnelle","Montant de la TVA. collectée","Total TVA. déductible sur biens et services","Dividendes","siren","denomination","enthic","postal_code","town","ape","ape_name","ape_len","ape_division","ape_groupe","ape_classe","ape_sous_classe","ess_N° IDENTITE ENTREPRISE (SIREN)","ess_RAISON SOCIALE","ess_ENSEIGNE","ess_SIGLE","ess_CP VILLE","ess_FORME JURIDIQUE","is_ess"
20,2011,NA,NA,NA,58507,58507,3000,NA,NA,231,NA,61738,NA,NA,4811,NA,37928,1603,9500,4152,NA,57996,3742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3741,NA,NA,NA,NA,311,NA,NA,NA,-311,NA,561,61738,58869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,527866529,"COLOR'F",1335,"75017","PARIS","4334Z","Travaux de peinture et vitrerie",5,43,433,4334,"4334Z",NA,NA,NA,NA,NA,NA,FALSE
21,2012,NA,NA,2083123,354188,2437311,-23672,NA,NA,12895,NA,2426535,NA,NA,171193,-4803,1167216,47428,823640,394435,246,2638713,NA,NA,NA,NA,NA,14553,7622,NA,54233,76408,NA,NA,NA,NA,208,76200,-135978,3042,43819,NA,NA,90,49622,NA,49712,-2852,NA,-5872,2549804,2682762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5980016,"SOCIETE NAZAIRIENNE DE MECANIQUE",777,"44550","MONTOIR-DE-BRETAGNE","2562B","Mécanique industrielle",5,25,256,2562,"2562B",NA,NA,NA,NA,NA,NA,FALSE
22,2012,NA,721085,NA,235816,956901,NA,NA,NA,1592,644,959137,484063,39593,4264,NA,351540,15860,NA,41865,245,1062994,-103857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3599,NA,NA,3599,-3599,-107456,90000,NA,NA,90000,285,NA,NA,285,89715,NA,NA,NA,1066879,-17741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36820348,"RIO FRANCE",636,"06160","JUAN-LES-PINS","4764Z","Commerce de détail d'articles de sport en magasin spécialisé",5,47,476,4764,"4764Z",NA,NA,NA,NA,NA,NA,FALSE
23,2012,NA,NA,NA,24000,24000,NA,NA,NA,NA,NA,24000,NA,NA,NA,NA,1568,654,NA,NA,NA,4285,19715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2957,24000,7242,16758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58807413,"SARL O MONACO",114,"13001","MARSEILLE (1ER)","6820B","Location de terrains et d'autres biens immobiliers",5,68,682,6820,"6820B",NA,NA,NA,NA,NA,NA,FALSE
24,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6162,8117,NA,NA,NA,17726,-17726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269,NA,NA,269,-269,-17994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17994,-17994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64802101,"SOMATRAP - SOCIETE DE MATERIEL INDUSTRIEL DE TRAVAUX PUBLICS",1505,"30100","ALES","4663Z","Comm de gros de machines pour l'extrac, la constr, le génie civil",5,46,466,4663,"4663Z",NA,NA,NA,NA,NA,NA,FALSE
25,2012,NA,NA,367220889,NA,367220889,1638827,NA,28390,9906113,81051,378875270,26581980,-110222,235207523,-2499228,76272913,2293351,11931171,4998164,77377,366860995,NA,NA,NA,NA,NA,1382331,NA,2755471,50872,4188674,NA,685832,531476,NA,1217308,2971367,14985642,65649,362988,1089794,1518430,NA,84808,327548,513356,1005074,1743404,5012015,384582375,NA,9235297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85581494,"LAITERIE DE SAINT DENIS DE L'HOTEL",1175,"45550","SAINT DENIS DE L'HOTEL","1107B","Production de boissons rafraîchissantes",5,11,110,1107,"1107B",NA,NA,NA,NA,NA,NA,FALSE
26,2012,NA,4230832,NA,433962,4664794,NA,NA,NA,21761,1799,4688353,2451253,14533,NA,NA,782674,162589,512742,191106,5770,4299583,388770,NA,NA,NA,32520,63705,NA,NA,NA,96225,NA,NA,NA,NA,35742,60482,449252,NA,5708,NA,NA,NA,NA,NA,NA,5708,NA,144830,4790286,4480156,310131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86080702,"S.A.S. MEUBLES SICOT",704,"45160","OLIVET","4759A","Commerce de détail de meubles",5,47,475,4759,"4759A",NA,NA,NA,NA,NA,NA,FALSE
27,2012,NA,NA,NA,NA,120388,NA,NA,NA,1680,65,122133,NA,NA,NA,NA,56062,3057,69417,26178,3,160505,-38372,NA,NA,NA,NA,NA,NA,1,NA,1,NA,3363,NA,NA,3363,-3362,-41734,NA,9000,NA,9000,618,5513,NA,6131,2869,NA,NA,131133,169999,-38865,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,300817087,"AGENCE BOURGOGNE PUISAYE",1010,"89130","TOUCY","6831Z","Agences immobilières",5,68,683,6831,"6831Z",NA,NA,NA,NA,NA,NA,FALSE
28,2012,NA,63276993,NA,4877348,68154341,305665,NA,103580,6468630,24080,75056297,28066989,-600004,504651,NA,NA,957859,6698808,2802988,219181,66382919,8673378,NA,NA,1846045,NA,499597,8779,287732,NA,2642153,23221,110769,NA,NA,453973,2188180,10861558,743783,-456,167580,910907,36582,NA,81336,117918,NA,554551,3209244,78609356,70718605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301420469,"TEXDECOR",1441,"59780","WILLEMS","4673B","Commerce de gros d'appareils sanitaires et produits de décoration",5,46,467,4673,"4673B",NA,NA,NA,NA,NA,NA,FALSE
29,2012,NA,NA,NA,6164853,6164853,31701,NA,NA,127102,5099,6328756,NA,NA,NA,NA,1409219,148682,2542806,1127463,97230,5491227,837528,NA,NA,44250,NA,4361,NA,NA,NA,48611,NA,20158,NA,NA,NA,28453,865981,5145,NA,NA,5145,1401,NA,478,NA,3265,89192,233087,6382511,5835544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302137435,"SAGECO",742,"33501","LIBOURNE","6920Z","Activités comptables",5,69,692,6920,"6920Z",NA,NA,NA,NA,NA,NA,FALSE
30,2012,NA,307508,NA,23205,330714,NA,NA,NA,NA,4,330718,123561,NA,5350,NA,66389,3856,34907,6028,72109,315640,15078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3029,-3029,12049,139,NA,NA,139,NA,NA,NA,134,5,NA,1808,330857,320611,10246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302454350,"BOUQUET'S MONTPARNASSE",5,"75006","PARIS","4776Z","Comm. dét. fleurs, plantes, etc, animaux de cie et leurs aliments",5,47,477,4776,"4776Z",NA,NA,NA,NA,NA,NA,FALSE
31,2012,NA,41750571,31604,418845,42201022,NA,NA,NA,140913,50689,42392624,32559659,-260949,NA,-765,4146629,590029,3030675,969373,29957,41683882,NA,NA,NA,201200,NA,27032,NA,NA,NA,235888,50907,NA,NA,NA,151348,84539,793281,350,NA,142871,143221,NA,NA,98172,98737,44483,218279,107342,42771734,42259589,512144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302517917,"SOCIETE DE DISTRIBUTION DU NORD VENDEE",286,"85600","MONTAIGU","4711F","Hypermarchés",5,47,471,4711,"4711F",NA,NA,NA,NA,NA,NA,FALSE
32,2012,NA,NA,NA,2462113,2462113,NA,NA,NA,200,196,2462511,NA,NA,87,NA,737984,206934,795789,267167,15016,2354070,108441,249467,NA,5764937,NA,107151,NA,184,52146,NA,NA,92122,2248,NA,94370,5830049,6187957,NA,31964,20298,52262,NA,34604,7082,41721,10541,NA,373302,8688660,2863463,5825196,NA,NA,NA,NA,NA,NA,203554,13736,NA,26612,NA,NA,24555,308328,NA,4343949,302565049,"COMPAGNIE D'INVESTISSEMENTS INDUSTRIELS ET COMMERCIAUX - C I",1515,"95310","SAINT OUEN L'AUMONE","6420Z","Activités des sociétés holding",5,64,642,6420,"6420Z",NA,NA,NA,NA,NA,NA,FALSE
33,2012,NA,25466,NA,434495,459960,NA,NA,NA,NA,NA,459960,NA,-623,NA,NA,117991,4769,196415,81677,NA,436732,23228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,587,-587,22641,796,6952,NA,7747,601,NA,NA,8260,-513,NA,3409,467708,448988,18719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302640453,"AR-MEN FORMATION",1295,"94130","NOGENT SUR MARNE","8553Z","Enseignement de la conduite",5,85,855,8553,"8553Z",NA,NA,NA,NA,NA,NA,FALSE
34,2012,NA,1937719,NA,NA,1937719,NA,NA,2206,17809,104,1957838,NA,7806,13387,-2218,362497,9930,218313,74792,566,1965089,-7251,NA,NA,NA,NA,6166,NA,NA,NA,6166,NA,4432,NA,NA,4432,1734,-5517,66,24483,NA,NA,785,1221,169,2175,22373,NA,2534,1988553,1974230,14323,NA,NA,NA,NA,NA,NA,7006,56204,8,NA,NA,NA,1669,107772,97776,28200,304557861,"POISSONNERIE MAUGER",367,"28400","NOGENT-LE-ROTROU","4781Z","Commerce de détail alimentaire sur éventaires et marchés",5,47,478,4781,"4781Z",NA,NA,NA,NA,NA,NA,FALSE
35,2012,NA,NA,NA,4614938,4614938,41334,NA,8394,144846,5,4809520,NA,NA,1238630,19742,1802641,76518,960459,608305,4,4863068,-53548,NA,NA,NA,NA,42053,204372,NA,NA,246425,16527,2275,130,NA,187536,58889,5341,2522,NA,NA,2522,NA,NA,63824,65515,-62992,NA,-1600,5058468,5114519,NA,NA,NA,NA,NA,NA,NA,420992,292253,37,298718,110612,NA,41122,807944,567699,NA,305118945,"DELAUNAY SAS",959,"60134","VILLERS-SAINT-SEPULCRE","4329A","Travaux d'isolation",5,43,432,4329,"4329A",NA,NA,NA,NA,NA,NA,FALSE
36,2012,NA,NA,NA,328338,328338,NA,NA,NA,NA,NA,328338,NA,NA,NA,NA,73591,29264,13745,5013,NA,149803,178535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,-54,178481,NA,NA,1248,1248,NA,NA,4268,195672,-194424,NA,NA,329586,345529,-15943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305306177,"BERDAL TOURISTIQUE",187,"97232","LE","5510Z","Hôtels et hébergement similaire",5,55,551,5510,"5510Z",NA,NA,NA,NA,NA,NA,FALSE
37,2012,NA,4556135,NA,NA,NA,NA,NA,NA,15002,1125,4813761,3783961,NA,NA,NA,418002,NA,270216,80036,NA,899,NA,NA,NA,NA,NA,6802,NA,NA,NA,6802,NA,46555,NA,NA,46555,-39753,13600,110602,NA,NA,110602,112562,NA,NA,112562,-1959,NA,NA,4947294,4935653,11640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305663296,"BROUSSE LOISIRS",433,"80000","AMIENS","4519Z","Commerce d'autres véhicules automobiles",5,45,451,4519,"4519Z",NA,NA,NA,NA,NA,NA,FALSE
38,2012,NA,16809003,NA,73992,16882995,NA,NA,NA,302445,170107,17355547,NA,-273397,60325,-2869,2720750,256782,2170603,1013343,7346,18034574,-679028,NA,NA,250000,NA,30404,3361,509,NA,284274,7323,235146,4494,NA,246963,NA,-641717,35781,16200,NA,NA,10003,125309,NA,135312,-83331,NA,-4000,17691802,18412850,-721048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305821225,"DIFAC",1288,"67960","ENTZHEIM","4642Z","Commerce de gros d'habillement et de chaussures",5,46,464,4642,"4642Z",NA,NA,NA,NA,NA,NA,FALSE
39,2012,NA,NA,NA,400268,400268,NA,NA,1000,14425,562,416256,NA,NA,NA,NA,96544,8978,213825,74167,3833,410148,6108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2694,-2694,3414,NA,NA,NA,NA,NA,NA,NA,6,-6,NA,484,416256,413332,2923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306138868,"FIT EXPERTISE",742,"30000","NIMES","6920Z","Activités comptables",5,69,692,6920,"6920Z",NA,NA,NA,NA,NA,NA,FALSE
40,2012,NA,NA,NA,789416,789416,NA,NA,NA,4435,NA,793851,NA,NA,NA,NA,183432,69102,26709,11408,16123,398107,395744,NA,NA,NA,NA,606,NA,NA,NA,606,NA,NA,NA,NA,NA,606,NA,1,NA,NA,1,75,NA,NA,75,NA,NA,136597,794457,534780,259678,NA,NA,NA,NA,NA,NA,99183,NA,1,NA,NA,NA,764,133522,32501,143220,307047910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
41,2012,NA,NA,NA,56293,56293,NA,NA,NA,NA,1,56294,NA,NA,NA,NA,12934,8235,NA,NA,NA,21700,34593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,-30,34563,NA,NA,NA,NA,30,NA,NA,NA,-30,NA,11511,56294,33271,23022,NA,NA,NA,NA,NA,NA,6081,728,NA,NA,NA,NA,-434,11094,2356,NA,308338383,"S.I.B.",114,"95310","ST OUEN L AUMONE","6820B","Location de terrains et d'autres biens immobiliers",5,68,682,6820,"6820B",NA,NA,NA,NA,NA,NA,FALSE
42,2012,NA,NA,NA,6812,6812,NA,NA,NA,NA,NA,6812,NA,NA,NA,NA,4599,1701,NA,NA,NA,6300,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,25,NA,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308800556,"SOCIETE IMMOBILIERE ET MOBILIERE ANREP SIMA",164,"16120","BONNEUIL","6832A","Administration d'immeubles et autres biens immobiliers",5,68,683,6832,"6832A",NA,NA,NA,NA,NA,NA,FALSE
43,2012,NA,NA,NA,429891,429891,135333,NA,NA,3289,3011,571525,215071,-800,NA,NA,89094,8102,165484,72005,4,557862,13663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22012,-22012,-8349,18646,NA,NA,18646,NA,NA,NA,7900,10745,NA,-1600,590171,NA,3996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309172518,"SOPOMEST",542,"67118","GEISPOLSHEIM","4332A","Travaux de menuiserie bois et PVC",5,43,433,4332,"4332A",NA,NA,NA,NA,NA,NA,FALSE
44,2012,NA,NA,NA,64753,64753,NA,NA,NA,NA,NA,64753,NA,NA,34630,NA,12090,401,25377,11346,1,83847,-19094,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-19088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64758,83847,-19088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309382661,"SAUVAGET ELECTRICITE",692,"44860","SAINT-AIGNAN DE GRAND LIEU","4321A","Travaux d'installation électrique dans tous locaux",5,43,432,4321,"4321A",NA,NA,NA,NA,NA,NA,FALSE
45,2012,NA,929988,NA,NA,929988,NA,NA,NA,NA,230,930218,614129,20014,NA,NA,279774,5541,NA,NA,NA,922613,7604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,556,NA,NA,556,-556,7048,NA,NA,NA,NA,1292,NA,NA,1292,-1292,NA,NA,930218,925583,4635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309989705,"CENTRE TECHNIQUE AUDIO",891,"75015","PARIS","4743Z","Commerce de détail de matériels audio/vidéo en magasin spécialisé",5,47,474,4743,"4743Z",NA,NA,NA,NA,NA,NA,FALSE
46,2012,NA,568390,NA,1372,569762,NA,NA,NA,NA,4,569766,289439,17392,NA,NA,NA,3297,97234,38283,190,575087,-5321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3661,NA,NA,3661,-3661,-8981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,569766,578748,-8981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311059034,"KIM AND KIM",212,"75006","PARIS","4771Z","Commerce de détail d'habillement en magasin spécialisé",5,47,477,4771,"4771Z",NA,NA,NA,NA,NA,NA,FALSE
47,2012,NA,199806,2747,6608,209160,NA,NA,NA,NA,NA,209160,NA,-970,2190,NA,33713,2419,13243,9967,NA,208289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,871,NA,NA,NA,NA,221,NA,NA,221,-220,NA,NA,209160,208509,651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311349500,"BHARMAL EXPORT",816,"92110","CLICHY LA GARENNE","4531Z","Commerce de gros d'équipements automobiles",5,45,453,4531,"4531Z",NA,NA,NA,NA,NA,NA,FALSE
48,2012,NA,NA,NA,6396718,6396718,NA,NA,NA,398881,NA,6795600,-749119,NA,NA,NA,4120195,57557,NA,NA,29783,3781774,3013825,1866894,NA,52650,NA,46210,350000,NA,NA,NA,NA,NA,NA,NA,NA,448860,5329580,74757,NA,2393,77150,167890,NA,51281,219171,NA,NA,1623752,9188506,5624698,3563808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312197130,"PIZZA PAI INTERNATIONAL",362,"59650","VILLENEUVE-D ASCQ","7010Z","Activités des sièges sociaux",5,70,701,7010,"7010Z",NA,NA,NA,NA,NA,NA,FALSE
49,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,775,NA,NA,45,1320,-1320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,437,NA,NA,437,-437,-1758,NA,NA,NA,NA,5074,NA,NA,5074,-5073,NA,NA,NA,6831,-6831,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,775,NA,NA,NA,313549891,"SOCIETE PEINTURE ET ETUDES ARCHITECTURALES",973,"95880","ENGHIEN LES BAINS","7112B","Ingénierie, études techniques",5,71,711,7112,"7112B",NA,NA,NA,NA,NA,NA,FALSE
50,2012,NA,546215,NA,4764,550979,NA,NA,NA,28153,NA,579132,453083,-13709,576,NA,NA,4023,52392,18129,NA,574110,5022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1741,-1741,3281,NA,159,NA,159,NA,NA,NA,8,151,NA,515,NA,NA,2917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313671109,"LIBRAIRIE GAIA",1188,"83200","TOULON","4761Z","Commerce de détail de livres en magasin spécialisé",5,47,476,4761,"4761Z",NA,NA,NA,NA,NA,NA,FALSE
51,2012,NA,NA,113779,NA,113779,NA,NA,NA,NA,1,113780,NA,NA,22462,NA,29071,6548,31687,13207,350,NA,92330,NA,NA,NA,NA,2,NA,NA,NA,2,NA,708,NA,NA,708,706,8527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314239021,"BAR PIZZERIA DE L EUROPE",992,"76200","DIEPPE","5610A","Restauration traditionnelle",5,56,561,5610,"5610A",NA,NA,NA,NA,NA,NA,FALSE
52,2012,NA,NA,NA,56573,56573,NA,NA,NA,NA,NA,56573,NA,NA,NA,NA,5611,2781,NA,NA,229,8621,47952,NA,NA,NA,NA,7639,NA,NA,NA,7639,NA,53,NA,NA,NA,7586,55538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11524,64212,20198,44014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314419466,"MY LINH",1515,"17000","LA ROCHELLE","6420Z","Activités des sociétés holding",5,64,642,6420,"6420Z",NA,NA,NA,NA,NA,NA,FALSE
53,2012,NA,NA,NA,1576733,1576733,NA,NA,NA,8280,NA,1585013,NA,NA,NA,NA,1163221,53631,254880,106492,35950,1742046,-157033,NA,NA,NA,NA,64017,NA,NA,NA,NA,NA,185,NA,NA,185,63832,-93201,134,28695,NA,NA,96,13534,NA,13629,15199,NA,88521,1677859,1844381,-166523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314889544,"EVOLIS",362,"59230","SARS-ET-ROSIERES","7010Z","Activités des sièges sociaux",5,70,701,7010,"7010Z",NA,NA,NA,NA,NA,NA,FALSE
54,2012,NA,244519,NA,245693,490212,NA,NA,NA,NA,847,491059,NA,7419,41241,NA,84363,3725,120318,49868,3,472318,18742,NA,NA,NA,NA,2193,NA,NA,NA,2193,NA,NA,NA,NA,385,1807,20549,NA,NA,NA,NA,NA,NA,NA,1173,-1173,NA,NA,493252,473876,19376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314974585,"ARTISTA SOCIETE D'EXPLOITATION",1180,"75005","PARIS","1721B","Fabrication de cartonnages",5,17,172,1721,"1721B",NA,NA,NA,NA,NA,NA,FALSE
55,2012,NA,5767,NA,505076,510843,NA,NA,20195,11175,NA,542213,1983,NA,171791,NA,NA,9457,13342,2864,21532,532279,9935,NA,NA,NA,NA,85,NA,NA,NA,85,NA,NA,NA,NA,7,78,10012,NA,1,NA,1,NA,NA,NA,120,-119,NA,2115,542299,534520,7778,NA,NA,NA,NA,NA,NA,22162,184026,1,13240,NA,NA,NA,40275,47232,NA,315250878,"SOCIETE NOUVELLE ARTISTIC VOLTAIRE",550,"75011","PARIS","9001Z","Arts du spectacle vivant",5,90,900,9001,"9001Z",NA,NA,NA,NA,NA,NA,FALSE
56,2012,NA,141555,NA,50126,191681,NA,NA,NA,NA,3,191684,NA,-8612,NA,NA,58960,3473,20767,9825,1781,198690,-7006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7006,NA,9881,NA,9881,NA,4128,NA,4128,5753,NA,NA,201565,202818,-1252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316190172,"SOCIETE MARSEILLAISE D'EXPLOITATION ET DE COURTAGE",723,"13420","GEMENOS","9329Z","Autres activités récréatives et de loisirs",5,93,932,9329,"9329Z",NA,NA,NA,NA,NA,NA,FALSE
57,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30266,NA,NA,NA,NA,30265,-30265,56219,NA,NA,NA,1378,NA,NA,NA,1378,NA,NA,NA,NA,NA,1378,27331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57597,30265,27331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316916790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
58,2012,NA,NA,NA,531708,531708,NA,NA,NA,NA,2,531710,NA,NA,NA,NA,354406,36095,NA,NA,2,402760,128950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5762,-5762,123188,NA,63,NA,NA,NA,NA,NA,NA,63,NA,NA,531773,408522,123252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317409423,"HUTHICO",1528,"86000","POITIERS","6820A","Location de logements",5,68,682,6820,"6820A",NA,NA,NA,NA,NA,NA,FALSE
59,2012,NA,498657,NA,2916,501574,NA,NA,NA,1522,4291,507388,220265,NA,NA,NA,88249,19745,107091,38970,4662,500420,6967,NA,NA,NA,NA,3782,NA,NA,NA,3782,NA,NA,NA,NA,3339,443,7411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317782571,"PROMOTION DU MEUBLE",704,"44210","PORNIC","4759A","Commerce de détail de meubles",5,47,475,4759,"4759A",NA,NA,NA,NA,NA,NA,FALSE
60,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,1750,1750,NA,NA,NA,NA,240,11901,NA,NA,462,12603,-10853,NA,NA,4991,NA,1570,NA,NA,NA,6562,NA,28278,NA,NA,28278,-21716,-32569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8312,40882,-32569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318843240,"SAE IMMOBILIER NORD - PICARDIE - NORMANDIE - CHAMPAGNE",1499,"60200","COMPIEGNE","6810Z","Activités des marchands de biens immobiliers",5,68,681,6810,"6810Z",NA,NA,NA,NA,NA,NA,FALSE
