,ape,ape_name,ape_len,ape_cat0,ape_cat1,ape_cat2,ape_cat3,Libellé,Code
1437,1414Z,Fabrication de vêtements de dessous,5,14,1.0,4.0,Z,Industrie manufacturière,C
1438,0893Z,Production de sel,5,8,9.0,3.0,Z,Industries extractives,B
1439,893,Production de sel,3,89,3.0,,,,
1440,2313,Fabrication de verre creux,4,23,1.0,3.0,,Industrie manufacturière,C
1441,4673B,Commerce de gros d'appareils sanitaires et produits de décoration,5,46,7.0,3.0,B,Commerce ; réparation d'automobiles et de motocycles,G
1442,1011,Transformation et conservation de la viande de boucherie,4,10,1.0,1.0,,Industrie manufacturière,C
1443,2016Z,Fabrication de matières plastiques de base,5,20,1.0,6.0,Z,Industrie manufacturière,C
1444,6110,Télécommunications filaires,4,61,1.0,0.0,,Information et communication,J
1445,4711,Comm. détail en magasin non spécialisé à prédominance alimentaire,4,47,1.0,1.0,,Commerce ; réparation d'automobiles et de motocycles,G
1446,6209,Autres activités informatiques,4,62,0.0,9.0,,Information et communication,J
1447,582,Édition de logiciels,3,58,2.0,,,Information et communication,J
1448,3811,Collecte des déchets non dangereux,4,38,1.0,1.0,,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",E
1449,279,Fabrication d'autres matériels électriques,3,27,9.0,,,Industrie manufacturière,C
1450,5010Z,Transports maritimes et côtiers de passagers,5,50,1.0,0.0,Z,Transports et entreposage,H
1451,6622,Activités des agents et courtiers d'assurances,4,66,2.0,2.0,,Activités financières et d'assurance,K
1452,1072,"Fabrication de biscuits, biscottes et pâtisseries de conservation",4,10,7.0,2.0,,Industrie manufacturière,C
1453,774,Loc-bail de propriété intell. & sf oeuvres soumises à copyright,3,77,4.0,,,Activités de services administratifs et de soutien,N
1454,6110Z,Télécommunications filaires,5,61,1.0,0.0,Z,Information et communication,J
1455,4779Z,Commerce de détail de biens d'occasion en magasin,5,47,7.0,9.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
1456,79,"Activ. agences voyage, voyagistes, serv. résa. & activ. connexes",2,79,,,,Activités de services administratifs et de soutien,N
1457,5610C,Restauration de type rapide,5,56,1.0,0.0,C,Hébergement et restauration,I
1458,9602A,Coiffure,5,96,0.0,2.0,A,Autres activités de services,S
1459,33,Réparation et installation de machines et d'équipements,2,33,,,,Industrie manufacturière,C
1460,8211,Services administratifs combinés de bureau,4,82,1.0,1.0,,Activités de services administratifs et de soutien,N
1461,1012Z,Transformation et conservation de la viande de volaille,5,10,1.0,2.0,Z,Industrie manufacturière,C
1462,5222Z,Services auxiliaires des transports par eau,5,52,2.0,2.0,Z,Transports et entreposage,H
1463,799,Autres services de réservation et activités connexes,3,79,9.0,,,Activités de services administratifs et de soutien,N
1464,9810,Activ. indifférenciées ménages : producteurs biens (usage propre),4,98,1.0,0.0,,Activités des ménages en tant qu'employeurs ; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre,T
1465,212,Fabrication de préparations pharmaceutiques,3,21,2.0,,,Industrie manufacturière,C
1466,2630Z,Fabrication d'équipements de communication,5,26,3.0,0.0,Z,Industrie manufacturière,C
1467,2370Z,"Taille, façonnage et finissage de pierres",5,23,7.0,0.0,Z,Industrie manufacturière,C
1468,7410Z,Activités spécialisées de design,5,74,1.0,0.0,Z,"Activités spécialisées, scientifiques et techniques",M
1469,6810,Activités des marchands de biens immobiliers,4,68,1.0,0.0,,Activités immobilières,L
1470,6831,Agences immobilières,4,68,3.0,1.0,,Activités immobilières,L
1471,2599,Fabrication d'autres produits métalliques n.c.a.,4,25,9.0,9.0,,Industrie manufacturière,C
1472,4312B,Travaux de terrassement spécialisés ou de grande masse,5,43,1.0,2.0,B,Construction,F
1473,4623Z,Commerce de gros (commerce interentreprises) d'animaux vivants,5,46,2.0,3.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
1474,5821,Édition de jeux électroniques,4,58,2.0,1.0,,Information et communication,J
1475,4644,"Commerce de gros de vaisselle, verrerie et produits d'entretien",4,46,4.0,4.0,,Commerce ; réparation d'automobiles et de motocycles,G
1476,80,Enquêtes et sécurité,2,80,,,,Activités de services administratifs et de soutien,N
1477,9101Z,Gestion des bibliothèques et des archives,5,91,0.0,1.0,Z,"Arts, spectacles et activités récréatives",R
1478,1071A,Fabrication industrielle de pain et de pâtisserie fraîche,5,10,7.0,1.0,A,Industrie manufacturière,C
1479,1412Z,Fabrication de vêtements de travail,5,14,1.0,2.0,Z,Industrie manufacturière,C
1480,5229,Autres services auxiliaires des transports,4,52,2.0,9.0,,Transports et entreposage,H
1481,2812,Fabrication d'équipements hydrauliques et pneumatiques,4,28,1.0,2.0,,Industrie manufacturière,C
1482,4222,Construction de réseaux électriques et de télécommunications,4,42,2.0,2.0,,Construction,F
1483,6629,Aut. activités auxiliaires d'assurance et de caisses de retraite,4,66,2.0,9.0,,Activités financières et d'assurance,K
1484,433,Travaux de finition,3,43,3.0,,,Construction,F
1485,852,Enseignement primaire,3,85,2.0,,,Enseignement,P
1486,4651,"Comm. de gros d'ordinat., d'éqpts informatiq. périph. & logiciels",4,46,5.0,1.0,,Commerce ; réparation d'automobiles et de motocycles,G
1487,982,Activ. indifférenciées ménages : produc. services (usage propre),3,98,2.0,,,Activités des ménages en tant qu'employeurs ; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre,T
1488,1102B,Vinification,5,11,0.0,2.0,B,Industrie manufacturière,C
1489,2751Z,Fabrication d'appareils électroménagers,5,27,5.0,1.0,Z,Industrie manufacturière,C
1490,8230Z,"Organisation de foires, salons professionnels et congrès",5,82,3.0,0.0,Z,Activités de services administratifs et de soutien,N
1491,7733Z,Location et location-bail machines bureau & matériel informatique,5,77,3.0,3.0,Z,Activités de services administratifs et de soutien,N
1492,503,Transports fluviaux de passagers,3,50,3.0,,,Transports et entreposage,H
