,ape,ape_name,ape_len,ape_cat0,ape_cat1,ape_cat2,ape_cat3,Libellé,Code
1640,4120A,Construction de maisons individuelles,5,41,2.0,0.0,A,Construction,F
1641,5610B,Cafétérias et autres libres-services,5,56,1.0,0.0,B,Hébergement et restauration,I
1642,1392,"Fabrication d'articles textiles, sauf habillement",4,13,9.0,2.0,,Industrie manufacturière,C
1643,4391B,Travaux de couverture par éléments,5,43,9.0,1.0,B,Construction,F
1644,113,"Culture de légumes, de melons, de racines et de tubercules",3,11,3.0,,,Industrie manufacturière,C
1645,9601A,Blanchisserie-teinturerie de gros,5,96,0.0,1.0,A,Autres activités de services,S
1646,5530,"Terrains de camping et parcs pour caravanes, véhicules de loisirs",4,55,3.0,0.0,,Hébergement et restauration,I
1647,182,Reproduction d'enregistrements,3,18,2.0,,,Industrie manufacturière,C
1648,2521Z,Fabrication radiateurs et chaudières pour le chauffage central,5,25,2.0,1.0,Z,Industrie manufacturière,C
1649,0127Z,Culture de plantes à boissons,5,1,2.0,7.0,Z,"Agriculture, sylviculture et pêche",A
1650,5920Z,Enregistrement sonore et édition musicale,5,59,2.0,0.0,Z,Information et communication,J
1651,4729,Autres commerces de détail alimentaires en magasin spécialisé,4,47,2.0,9.0,,Commerce ; réparation d'automobiles et de motocycles,G
1652,683,Activités immobilières pour compte de tiers,3,68,3.0,,,Activités immobilières,L
1653,9700,Activités des ménages  : employeurs de personnel domestique,4,97,0.0,0.0,,Activités des ménages en tant qu'employeurs ; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre,T
1654,205,Fabrication d'autres produits chimiques,3,20,5.0,,,Industrie manufacturière,C
1655,750,Activités vétérinaires,3,75,0.0,,,"Activités spécialisées, scientifiques et techniques",M
1656,2349Z,Fabrication d'autres produits céramiques,5,23,4.0,9.0,Z,Industrie manufacturière,C
1657,2349,Fabrication d'autres produits céramiques,4,23,4.0,9.0,,Industrie manufacturière,C
1658,2573A,Fabrication de moules et modèles,5,25,7.0,3.0,A,Industrie manufacturière,C
1659,7820,Activités des agences de travail temporaire,4,78,2.0,0.0,,Activités de services administratifs et de soutien,N
1660,8130Z,Services d'aménagement paysager,5,81,3.0,0.0,Z,Activités de services administratifs et de soutien,N
1661,4652Z,Comm. de gros d'éqpts et composants électroniques et de télécomm.,5,46,5.0,2.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
1662,4647Z,"Commerce de gros de meubles, de tapis et d'appareils d'éclairage",5,46,4.0,7.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
1663,5911,Production films cinémat. vidéo & programmes de télévision,4,59,1.0,1.0,,Information et communication,J
1664,7021,Conseil en relations publiques et communication,4,70,2.0,1.0,,"Activités spécialisées, scientifiques et techniques",M
1665,3312Z,Réparation de machines et équipements mécaniques,5,33,1.0,2.0,Z,Industrie manufacturière,C
1666,2830Z,Fabrication de machines agricoles et forestières,5,28,3.0,0.0,Z,Industrie manufacturière,C
1667,7740,Loc-bail de propriété intell. & sf oeuvres soumises à copyright,4,77,4.0,0.0,,Activités de services administratifs et de soutien,N
1668,2051,Fabrication de produits explosifs,4,20,5.0,1.0,,Industrie manufacturière,C
1669,1431,Fabrication d'articles chaussants à mailles,4,14,3.0,1.0,,Industrie manufacturière,C
1670,9525,Réparation d'articles d'horlogerie et de bijouterie,4,95,2.0,5.0,,Autres activités de services,S
1671,3211,Frappe de monnaie,4,32,1.0,1.0,,Industrie manufacturière,C
1672,0000,Inconnu,4,0,0.0,0.0,,,
