siren,Chiffres d’affaires nets,"Impôts, taxes et versements assimilés"
439193889,1595641,7821
439273384,1471346,12373
439342965,368699,4283
439409111,141685,2376
439559139,69235,302
439749953,721201,14920
439762873,4034102,37277
439972415,977186,2146
439972746,87831,70
440080695,515593,10148
440109593,43479,1559
440220226,10145959,291581
440286946,37400,3437
440304988,465726,3291
440516847,867410,6869
440557510,85754,3187
440607216,156165,955
440759389,305506,710
440855948,163340,1051
440862407,747870,4581
440927499,NA,NA
440955300,1309999,15638
440976546,521786,9784
441057973,170235,1726
441110137,5982,110
441110566,1181662,24374
441145539,NA,NA
441178126,354720,2855
441415528,236655,2797
441425998,260007,NA
441583127,54297,580
441714037,2199659,28080
441772712,89680,9216
441830569,219795,3014
441847969,115001,2483
441953684,139391,324
442067989,234919,781
442080933,76938,2937
442240206,891533,6122
442373619,451648,1799
442409553,291194,15185
442448817,385591,17638
442465290,12000,1293
442506465,173038,1285
442607321,882593,9454
442847182,175800,3393
442863114,287998,1113
442878617,NA,NA
442898193,1511580,5985
442965711,61447,2014
443208301,1005884,19345
443425202,160989,NA
443480173,197475,7040
443494315,19534153,217603
443642434,21700,492
443687470,876044,12692
443709217,NA,3
443729934,3977927,43512
443767538,337865,4395
443777966,2008807,49748
443964713,NA,71
443993878,603957,4869
444043251,NA,NA
444088991,216485,5738
444158265,2706757,55796
444174247,210197,7387
444201008,232122,1571
444274674,380772,18262
444312037,302500,9990
444326847,1274128,6428
444338693,92969,3388
444375356,363610,1990
444407266,386624,5083
444475180,190248,6099
444481402,1006047,10864
444539449,252644,4075
444568794,20000,1069
444605273,288227,371
444653059,161124,781
444693626,151685,1446
444708812,43305,1992
444932230,719337,6484
445020241,1550723,12936
445023005,272327,5753
445093016,84303,545
445128283,1295890,NA
445306418,148161,1602
445720238,2253289,NA
447497900,1950,1215
447732926,16174,1410
448091900,91084,1834
448271205,1183028,10647
448310672,26230,8464
448332189,138448,2787
448403774,432698,3968
448815456,700288,9839
448826859,6083,402
448928184,323933,1358
449079557,88472,579
449132455,218949,2675
449153089,107470,413
449166362,616549,48678
449390368,693665,NA
449418342,350399,1574
449452218,NA,2114
449510080,174165,6049
449559236,NA,71
449636158,477916,5888
449677053,51516,812
449679067,NA,585
449735869,591978,1196
449836667,64625480,816430
449837079,458465,6247
449894187,654038,NA
450060009,NA,647
450061239,325433,8818
450276811,325369,6905
450350087,11316,447
450370499,3363,215
450390257,2345697,7848
450486964,568388,15795
450511217,318383,4598
450575022,810374,10154
450624192,842966,115422
450658000,129154,4058
450695754,206571,371
450705348,661574,4422
450809983,838526,21304
450823620,7159520,70247
450965645,NA,16795
450995923,1057605,17142
451011548,33765169,162065
451074173,1117591,34391
451322531,2886515,497
451367155,89225,71
451426415,315236,2163
451489363,363294,15752
451637961,416788,7516
451729669,NA,71
451763379,26990,NA
451853303,266708,7401
451876395,79431,3655
451929798,48020,1450
451980734,1127053,15604
452022262,109399,372
452206550,357227,2089
452352164,1240033,37776
452575772,366751,1242
452702434,223484,6932
452749047,58030,2348
452784697,187944,725
452872419,369770,2943
452947930,1003993,20972
453079840,831059,NA
453115859,112632,828
453162869,567853,4145
453163719,172566,740
453176869,145483,7338
453213159,326042,862
453237190,22625,NA
453265076,335073,587
453360869,368471,332
453591877,34366,372
453813479,53417,1413
453903213,104210,-21
453982753,295518,6795
453991481,109911,899
454036484,687,36
454064312,26000,NA
457503977,1440463,23383
467500922,18684812,144320
476280656,544823,6377
477635114,46077,415
477805634,1079316,6573
477871974,2277353,21359
477889695,291000,3522
477990568,422660,7724
478039019,NA,71
478092760,122024,9654
478101587,342881,4768
478188048,7003,500
478262579,783982,14779
478358476,2253278,28851
478441587,NA,150
478446776,2784604,19705
478596547,85130,850
478630668,NA,NA
478635246,332402,4391
478740616,777351,13309
478809767,1313012,15469
478827819,NA,770
478941990,1228219,8580
478952070,549779,7047
479026361,NA,548
479062515,63616,684
479065765,13214,305
479094286,509425,27389
479129280,321991,14636
479203259,134014,1228
479206005,558197,2120
479383226,2518,1541
479424830,67193,535
479485625,229642,1161
479574741,431521,4173
479592172,NA,587
479613432,2184824,33148
479652125,388801,6456
479727828,173756,1233
479773517,456290,13242
479787400,507883,7601
479971905,NA,653
479989295,176561,1668
479992893,279470,71
480023936,909227,18826
480187830,699002,4067
480188408,246631,1549
480231323,142889,1757
480259902,818945,10732
480381318,493922,342
480413699,830747,1647
480474261,781108,3107
480526078,2656759,9535
480542539,NA,NA
480570365,45322,5043
480588458,NA,NA
480704956,679434,10246
480777903,127455,8733
480830744,771301,2312
480863372,67900,572
480959246,1359267,25607
481042802,699040,4319
481141422,452244,12119
481187656,160310,4737
481276996,3902,1186
481389922,211370,1595
481402287,324223,2260
481460871,451419,2130
481480341,178594,1005
481508893,1142247,46757
481518140,1388431,49560
481541621,215084,1539
481640415,8344846,39241
481985315,251104,2467
481986248,222360,2205
482068533,105428,8490
482236528,2613282,39370
482446010,191922,3710
482459062,554206,4069
482561883,299833,12734
482578614,2255114,514988
482592599,321106,1618
482609922,NA,NA
482656717,2400562,15664
482879459,1316529,10901
482942794,66165,819
482994621,1025981,4777
483034302,1471441,67434
483119350,249143,1102
483279949,105036,200
483313417,373862,2151
483375549,1280901,26115
483377693,1734395,50961
483416665,960961,7833
483616637,3658,62
483646006,132461,284
483933099,202680,1002
484203500,NA,600
484225891,394314,2470
484287644,4199,365
484345863,218653,1521
484348891,39507,1065
484433362,44946,1325
484605951,3078329,41692
484648522,NA,673
484755731,719255,2268
484758727,2923238,23521
484765599,131474,379
484822846,109745,4162
484853882,NA,NA
484854252,2636239,38528
484947353,67697,1980
485143952,3021078,15374
487636318,768642,11427
487659914,154427,1815
487678500,2521037,NA
487730368,2812994,108845
487751067,397162,11254
487751091,2175832,80276
487754616,2337591,88892
487976110,100118,7379
487993594,473578,35742
488044215,37002,1786
488057597,88593,4672
488068065,494733,3365
488068834,960023,25441
488185778,807582,1892
488349143,46471,1376
488361486,926540,10735
488372657,46116,1991
488481961,716723,5633
488587718,1400,692
488599630,133102,1391
488644964,132602,1732
488670613,393809,6212
488681982,76641,2151
488682899,NA,991
488725896,390870,1969
488795055,267673,2228
488883307,NA,585
488936246,148669,1169
489113803,259376,3120
489270579,136326,6124
489451880,NA,39752
489677104,1879179,20825
489707265,NA,408
489825158,669874,NA
489919829,41600,860
489972240,56125,2495
489975458,51947,752
489983528,333768,5584
490005303,90290,1611
490335379,58750,561
490342227,379212,23711
490365657,3332145,40221
490378783,35868,936
490387883,52314,679
490387925,202444,513
490395928,2581609,32984
490471828,5011,1050
490550779,262178,424
490581535,200010,-306
490586112,524384,4701
490714912,231324,1824
490725900,197847,73
490843315,118822,635
490872413,1248032,9275
490899556,329688,244
490905940,193200,1725
490954989,634973,4634
491026480,837920,5691
491039475,491708,6505
491073987,NA,NA
491087318,23954,400
491113767,423079,1962
491140562,NA,340
491163879,31947,71
491182507,806737,5740
491256160,3000,553
491337168,186850,3517
491350104,118684,1664
491357984,42308,151
491380200,235943,5283
491684544,1762312,18700
491835088,NA,623
491983672,266474,936
492060496,NA,NA
492099163,189109,879
492157359,176374,4035
492478409,32498,4085
492622352,65151,3100
492626536,66434,348
492629571,145543,71
492631981,94479,1075
492736228,135102,2472
492842810,139014,766
492855713,729388,6496
492920210,418579,751
492952080,13707,655
492974647,181458,3875
493016760,NA,258
493028062,512500,15064
493049936,3960,1020
493154017,321503,2566
493197479,5015,NA
493198113,11185,572
493227029,NA,71
493269724,129307,3248
493272991,350803,1945
493286850,213656,849
493317374,1024037,9061
493360341,70149382,NA
493404511,27769,3010
493430649,NA,NA
493447585,1608279,16902
493461305,NA,NA
493482756,8439035,226492
493485205,201921,7940
493540090,1100744,10494
493542880,2388794,37051
493552426,65491,3798
493619902,2149941,72118
493764898,111090,471
493798573,167745,609
493819759,61256,162
493825178,193831,1910
493861017,225516,912
493911051,635493,5923
493954549,95791,1075
494095136,274559,8630
494185325,325632,1353
494243116,85200,1073
494252273,82269,1568
494368814,1576536,5166
494850829,618904,20522
494979925,40421,2081
495107898,160597,1462
495122756,NA,71
495375115,94987,241
497528810,141484,1532
497645903,1313652,12039
497684365,161441,743
497714535,1096114,16508
497752535,354728,1029
498063437,899747,8723
498137702,174628,1105
498208644,612722,6089
498233618,2639119,20927
498243534,53974,608
498250513,546000,1249
498364884,91086,3304
498368307,1085933,10160
498396647,10023,90
498519941,183155,369
498664267,494493,2485
498859073,180210,605
498865112,138060,8219
498945070,268747,5499
499095578,613675,10192
499104206,7665,442
499106144,80908,6591
499155497,305944,1406
499494821,117052,1819
499518835,488516,1058
499558807,244713,414
499748291,1316624,12595
499795227,68937,1677
499924181,124764,2241
500004213,113041,470
500009626,348105,2088
500031919,NA,945
500034228,1249682,3274
500101951,5851615,89137
500122296,206417,8894
500124763,NA,541
500175633,NA,2095
500228168,23336,583
500239231,376000,2386
500246863,1626212,13929
500343280,2266674,19934
500440946,331128,2385
500511589,824012,1006
500527924,16673,390
500528278,37214,2180
500552096,685501,NA
500578364,189466,574
500664149,90893,705
500673546,122876,600
500859814,489350,12203
500892153,354759,4706
501066609,198716,1002
501070486,371695,3434
501193536,NA,176
501217921,604820,4916
501236004,139288,1503
501270433,107662,348
501322705,317758,7216
501323786,2827770,22143
501372726,636752,NA
501420293,NA,12137
501560072,119746,1821
501599336,3408683,17500
501672786,NA,758
501695464,367053,7525
501695555,82905,-295
501695795,NA,NA
501696082,283471,12212
501700843,449378,16189
501701056,2427271,58201
501701098,2375202,59275
501701189,NA,372
501701445,1957312,78666
501701544,4816,794
501701593,329655,6546
501759021,396476,12782
501792527,50894,3260
501897177,127917,4284
501943799,432313,5462
501994941,537216,13748
502083652,31598,957
502132400,36140,1197
502223498,1990383,27653
502257769,565553,21090
502413586,138573,1625
502443070,274244,2218
502494396,972728,7267
502543481,466533,1936
502549843,5150,372
502575715,902525,15858
502611114,NA,413
502698186,679967,3183
502742216,419106,3428
502825508,95000,5340
502884943,138682,4263
502900996,1195000,2452
502942915,108798,1041
502952583,353943,2687
502972284,70519,3375
502980725,585010,1532
503041089,104238,108
503176885,71700,6229
503288128,171448,15039
503317893,NA,NA
503319477,229310,1135
503324410,1923846,13450
503340853,18000,401
503401242,137774,1777
503407769,671367,NA
503495426,890805,5147
503603698,NA,4065
503618498,92972,491
503626251,260556,225559
503683443,NA,877
503744179,531071,354
503847170,455623,3101
503991200,NA,71
504058454,257718,1538
504058579,110730,1585
504260134,45085,129
504298431,5660,499
504299058,188848,499
504316530,55000,654
504398629,245727,-160
504425380,111197,3562
504429499,361500,1594
504461013,1800579,4148
504583253,1045352,11715
504585886,193928,2315
504919002,93900,2366
504941741,35078,951
505124305,540991,3752
505127688,308065,14562
505134015,NA,525
505299131,NA,NA
505389270,41515,460
505392035,441950,NA
507512226,247460,2528
507525764,504488,4548
507588234,47872,3590
507604809,267200,2714
507611465,121456,3227
507615441,312024,4147
507628774,621310,15371
507726909,583489,1607
507771483,7148702,196121
507780351,39954,3249
507833887,1169699,11488
508042975,NA,NA
508158862,230979,10380
508197902,68282,3194
508231487,75438,503
508488566,102255,470
508517158,3350121,43133
508589298,57588,692
508609039,13750,-601
508687936,130568,1663
508789716,68151,979
508900420,353666,3900
509020822,206545,5873
509062295,162679,1593
509112520,144335,2667
509114740,NA,NA
509140075,NA,142
509207387,2830320,27430
509263117,415298,1949
509289203,622272,5425
509299038,202395,4146
509434114,131016,2998
509529848,112993,8679
509529939,NA,372
509530549,1133045,17613
509530770,NA,372
509531224,1999146,31008
509531273,1381529,30674
509531315,347693,NA
509531323,1631645,28736
509531398,120365,5713
509531430,NA,5
509531471,NA,NA
509540217,2289030,69671
509540241,NA,NA
509540423,NA,NA
509540472,2126689,72786
509541470,NA,NA
509541512,2779443,72403
509541538,2388988,64045
509566899,218758,365
509573317,542471,4707
509626495,23346,71
509750469,102035,3602
509898540,10374,76
509964482,796359,12041
510003973,55856,868
510188147,411768,7309
510223969,1059365,1278
510297641,NA,71
510305121,194880,685
510340029,1448786,12896
510400955,15600,1222
510468119,109500,840
510507213,186211,1951
510529985,NA,413
510553191,106253,334
510819329,NA,NA
510827462,NA,2675
510891377,216314,7573
510907892,87241,NA
510975865,NA,82
511042343,1378095,5750
511139925,24028,-676
511186728,72000,941
511380420,28244,3659
511469017,56834,1008
511574683,117323,1254
511578460,615190,10446
511648412,NA,NA
511813479,45045,NA
511836207,10419,654
511872582,240284,2603
512056581,NA,734
512059577,89880,156
512065723,734068,12090
512132671,86700,71
512140831,329215,9386
512172040,603382,9638
512195744,NA,NA
512234733,361770,15410
512239104,20066,NA
512307703,1179113,6423
512345828,25200,372
512393745,40721,772
512427824,69066,827
512430323,33903,372
512448705,610808,6514
512508060,870445,5182
512552233,44342,1730
512562539,98346,550
512801432,58487,1338
512870130,28855,NA
513138024,141969,11421
513186775,84000,4646
513194365,664558,NA
513252551,200421,3345
513283960,73106,560
513295568,443743,39396
513300640,323344,1977
513370411,21481,1097
513387852,84375,513
513397950,21993,188
513477547,252835,9208
513560201,9250,28
513567743,732817,24661
513647743,1730904,17526
513688903,274691,5489
513707463,1788192,6091
513724963,55325,692
513732867,2081825,13749
513735381,326576,2150
513782946,NA,NA
513797076,8407285,122836
513801589,NA,529
513975813,204534,758
514157502,2758793,41379
514159938,18636,1756
514182351,NA,71
514331214,37189,1096
514435734,NA,504
514582196,122386,2964
514673805,52972,148
514716307,NA,1137
514867928,NA,1028
514938208,NA,NA
514960053,NA,274
515126209,16050,NA
515203826,162742,3896
515231132,105189,1514
515381697,NA,555
517397683,402871,1461
517437893,247312,2984
517490314,1391248,19790
517619243,498282,6443
517658910,378133,3189
517760120,93444,1675
517773750,194986,678
517871893,311329,3820
517890216,249267,1995
518030960,340186,846
518069315,497887,1213
518077474,4486992,14076
518107123,NA,251
518115753,225125,6443
518151790,260914,378
518165667,472665,6395
518283528,8620,551
518286786,NA,551
518312434,694721,4304
518323829,51659,1410
518599436,33320,390
518602032,NA,71
518656160,64388,569
518738521,NA,731
518858949,302310,4434
518859178,291357,1784
518982475,208971,2914
518990718,1826294,15557
519004253,858434,4324
519022826,8872,32
519022917,31358,NA
519022966,NA,NA
519127732,24000,569
519143275,NA,NA
519144059,98577,1347
519157424,NA,151
519283857,319184,4144
519342166,NA,NA
519379051,197108,3143
519391882,725750,3387
519424360,1262414,31729
519433023,395056,417
519523625,NA,26743
519534051,506806,3653
519662159,26951,616
519715593,149998,555
519730204,85480,486
519828255,90497,2178
520021312,101669,2977
520035452,967576,3197
520043332,761609,447
520097528,157995,NA
520219247,581572,5473
520222522,NA,560
520320607,NA,71
520423088,71602,2396
520514456,201801,1834
520598657,11669,246
520649898,237560,4544
520685348,42340,1847
520871567,317649,680
520971136,NA,403
521000547,451783,5074
521333096,20866,71
521347989,175700,6723
521358804,NA,413
521432906,111067,71
521547273,342208,560
521647933,829995,12024
521701292,89678,541
521708172,962225,5714
521896761,528979,11620
521896886,189011,738
522082742,135561,830
522192236,957348,7729
522214865,46371,28753
522230481,2493049,19540
522286921,269984,2424
522461151,330775,250
522517168,309523,1751
522604404,517153,587
522696632,741500,10912
522723287,172296,8516
522761139,2216615,20218
522815935,146600,3500
522825702,NA,815
522858737,NA,71
522969963,1029894,6053
523072254,59872,1076
523072528,582147,3838
523257137,58103,21184
523411866,357802,4059
523420875,369951,238
523431443,1610,71
523436020,154261,900
523614410,606988,3735
523647006,110572,4339
523688893,54981,466
523726867,50200,133
523808335,816177,15502
523809598,NA,1034
523816627,536197,7001
523845188,NA,NA
523846574,NA,277
523862084,15000,1275
524029444,657384,8678
524038106,562543,3841
524111309,NA,71
524157872,39327,724
524202421,48000,168
524232154,3775319,113093
524304557,NA,NA
524315033,11251,800
524584810,48510,8407
524607868,74920,NA
524668324,171819,19
524713385,179346,7608
524735503,1020108,5432
524764883,NA,NA
524823630,4016599,23558
524960796,585153,9821
525004412,706633,6732
525136180,139718,1581
525181681,91156,NA
525232583,77674,722
525268975,281024,523
525316584,NA,455
525318549,547477,3021
