siren,Subventions d’exploitation
421361726,4085
421384470,NA
421389453,412948
421401910,1000
421499013,NA
421632530,NA
421752825,NA
421777624,5838
421930405,NA
421935099,NA
422040790,NA
422068551,NA
422114215,NA
422274811,NA
422296061,NA
422336404,NA
422588434,NA
422788380,NA
422876557,NA
423052026,34434
423419027,NA
423437953,NA
423535764,NA
423661560,75276
423724319,NA
423762814,NA
423955004,6106
423986447,NA
424009637,NA
424119246,NA
424190114,NA
424231165,NA
424461952,7635
424561603,NA
424631398,NA
424670842,NA
424694958,NA
424749778,4248
424758456,NA
424760353,11866
424813251,NA
425108859,NA
428131544,NA
428166201,NA
428171540,NA
428208193,NA
428285639,NA
428288930,24125
428703896,3166
428744544,NA
428847545,NA
429124969,NA
429131089,NA
429213929,NA
429228182,2329
429326200,NA
429472723,NA
429670003,2000
429714587,NA
429885627,NA
429906159,NA
429994585,NA
430068221,NA
430133959,NA
430386466,NA
430416172,NA
430433193,NA
431288620,NA
431346147,NA
431372051,NA
431853035,NA
431896356,NA
432107472,NA
432167500,NA
432225803,NA
432259877,NA
432313021,NA
432346716,NA
432472413,NA
432524502,NA
432684280,NA
432988913,NA
433002458,NA
433313574,NA
433567799,NA
433641933,NA
433645694,NA
433818630,NA
433842044,196098
433887874,NA
433912623,NA
434036042,5000
434036612,NA
434052064,NA
434352084,NA
434543088,10829
434578258,NA
434603841,NA
434657607,NA
434856993,NA
434897633,NA
435092036,NA
435126040,NA
435170667,NA
437627052,NA
437662513,NA
437733330,NA
437939879,NA
437996036,7000
438101677,NA
438170979,NA
438307183,NA
438312571,NA
438448193,3231
438448490,70
438450694,NA
438565285,NA
438616583,1600
438754467,NA
438768582,9427
438862153,NA
438895716,NA
438932501,NA
439102906,NA
439124371,2000
439193889,NA
439273384,NA
439342965,NA
439409111,NA
439559139,NA
439749953,NA
439762873,NA
439972415,NA
439972746,NA
440080695,NA
440109593,NA
440220226,NA
440286946,NA
440304988,603
440516847,NA
440557510,NA
440607216,NA
440759389,NA
440855948,NA
440862407,NA
440927499,NA
440955300,3325
440976546,NA
441057973,NA
441110137,NA
441110566,NA
441145539,NA
441178126,NA
441415528,917
441425998,NA
441583127,NA
441714037,NA
441772712,NA
441830569,NA
441847969,31
441953684,NA
442067989,NA
442080933,NA
442240206,NA
442373619,NA
442409553,NA
442448817,NA
442465290,NA
442506465,NA
442607321,NA
442847182,NA
442863114,5337
442878617,NA
442898193,NA
442965711,NA
443208301,6480
443425202,NA
443480173,NA
443494315,4477
443642434,NA
443687470,NA
443709217,NA
443729934,2000
443767538,NA
443777966,NA
443964713,NA
443993878,NA
444043251,NA
444088991,NA
444158265,12231
444174247,NA
444201008,NA
444274674,NA
444312037,NA
444326847,NA
444338693,NA
444375356,NA
444407266,2050
444475180,NA
444481402,NA
444539449,NA
444568794,NA
444605273,NA
444653059,620
444693626,NA
444708812,NA
444932230,500
445020241,NA
445023005,NA
445093016,NA
