siren,Total des produits d’exploitation,Total des produits financiers,Total des produits exceptionnels,Autres produits
309020352,170687,NA,800,2
309033280,349836,NA,NA,124
309044758,NA,NA,NA,NA
309054286,3248992,6148,3043,113
309055259,828504,NA,986,229
309072916,NA,NA,NA,NA
309084010,10003,273,113,5
309094852,585484,NA,NA,NA
309095396,NA,NA,528,18
309097590,160747,NA,NA,NA
309114254,3411521,4990,2264,10
309114536,2038029,NA,NA,215
309123479,6966285,112089,279936,5197
309123636,NA,NA,NA,2197
309134476,NA,2814,4083,10
309159606,NA,NA,NA,315
309172518,345312,NA,21333,102
309191401,NA,10,320,4530
309216661,360853,NA,NA,2325
309216687,179752,NA,NA,NA
309230571,1121170,NA,NA,719
309231504,162559,2719,7021,3
309232114,515801,NA,3704,9
309232965,202145,NA,NA,153
309245678,119943,NA,NA,864
309246387,107853,NA,NA,1303
309257178,25899238,12678,100955,8184
309266195,NA,NA,NA,NA
309304038,NA,NA,NA,NA
309304616,2333603553,22413479,NA,6671930
309305837,NA,86,167,7
309306496,9498848,2078,280730,6420
309319952,9003,14506,5779,3
309320976,697349,2951,2237,878
309332864,NA,17400,125117,26
309344729,1142806,100374,54,14311
309345098,3222929,49019,7526,994
309371391,317322,NA,5943,11
309382661,45286,NA,NA,NA
309384600,12641,NA,NA,NA
309407724,27759101,NA,1065108,25460
309409969,19056662,NA,NA,512
309421410,108806,NA,NA,NA
309432813,679209,NA,NA,96
309432896,2487962,NA,540,1279
309446276,55555248,222458,372040,5502
309457331,386260,NA,10023,NA
309467397,7935847,54,161115,4105
309468718,73682,NA,NA,3033
309481315,7543243,NA,16571,1736
309496362,188656,NA,NA,46
309505964,NA,NA,131216,1963
309506582,20254,NA,NA,NA
309506855,2456944,NA,NA,8550
309552008,4819954,3606,2054077,1293
309564912,1139281,577,NA,620
309565927,598668,NA,3,22
309567964,22652699,NA,NA,108
309575918,7665558,73,10380,12674
309584928,2887433,3385,833,5783
309598159,4793120,127703,521176,24147
309598597,4191198,NA,10406,2875
309610517,957251,NA,2,30503
309624914,13325390,18003,NA,7881
309647170,NA,NA,728797,167
309685196,2278982,NA,562,NA
309693612,2781823,NA,NA,38
309694065,30211192,2449610,NA,105
309719292,NA,NA,NA,NA
309744449,15603784,397053,NA,171753
309754059,NA,NA,NA,907
309754554,540020,162,47917,12
309770279,25461476,21500,NA,1027
309770451,2258338,16717,NA,2111
309787687,2087618,NA,NA,115
309800134,4560543,1,15557,12
309803054,82427,NA,1106,1277
309813095,NA,5210,7738,11673
309856748,1707107,NA,NA,155
309880912,479180,11,NA,NA
309932580,4534113,1424,11425,NA
309966521,NA,2622,NA,NA
309967164,NA,50486,NA,NA
309978120,4625246,9816,3962,2241
309989705,806525,171,185,2
309990281,NA,2122,NA,NA
309990349,18056006,326138,8002584,57112
310026398,238490,18,NA,21176
310037767,3584848,6084,28305,2497
310047162,304677,113,NA,NA
310069711,733734,NA,25,265
310093810,472363,NA,7,NA
310094305,56851,NA,NA,48
310094891,537545,NA,NA,7174
310107644,265224,NA,NA,6
310108915,165536,4,NA,19
310131057,1430863,NA,NA,13
310131966,213642,NA,NA,925
310132477,177720,NA,NA,NA
310146717,351661,20264,2411,1
310148515,150000,12,145,NA
310160015,-5040,NA,NA,NA
310173414,4648257,1943,229474,69
310174669,356325,NA,20641,6893
310198205,322000,361372,165024,NA
310208962,5270119,39404,1258,98
310232467,3932271,NA,5500,109
310238589,104742,NA,NA,NA
310239942,673288,NA,400,NA
310240965,NA,6,13065,677
310256946,565045,7,2628,NA
310257811,4343040,16462,NA,140651
310290663,145798,NA,520,1
310308507,1889,NA,NA,1
310310594,675949,NA,62088,30
310327606,9832554,NA,59750,264
310337670,NA,NA,NA,NA
310347984,6256949,NA,NA,5740
310380233,213039,NA,NA,3
310437447,1988210,NA,NA,NA
310455928,NA,NA,8907,NA
310485396,2175747,NA,NA,107
310517693,852669,3,47500,799
310530068,5489000,71000,NA,NA
310540547,22254325,5474,NA,46
310552617,332554,NA,898050,81
310579396,67634,528,NA,NA
310590161,640511,NA,NA,418
310590203,NA,NA,NA,NA
310654264,NA,NA,NA,204
310667076,NA,15212,3790,NA
310679006,247444,NA,NA,4725
310679402,5116157,93450,9302,7338
310710249,1003629,43581,40516,600
310728944,302801,NA,NA,3
310746672,945662,404,7774,8
310756770,21433202,NA,NA,11
310763677,2975186,35452,5192,NA
310774617,3060475,4890,NA,10312
310785894,NA,2219,302725,26
310791579,421966,170,11708,388
310792916,902316,NA,781,59
310809462,1712987,1074,NA,1174
310819362,NA,40596,9513,6070
310827555,514595,90,113317,136
310828165,521132,53,3081,222
310836309,4763850,NA,1305499,NA
310836481,154466,NA,NA,NA
310836705,1505269,NA,72035,5901
310837653,4215400,116,1146617,541
310839071,435648,78348,18953,343922
310862248,22235469,244,NA,5266
310862354,NA,29,NA,NA
310863329,708818,3576100,144646,4147
310863360,7082782,7969,25402,NA
310864186,138485,NA,2680,5
310879291,1286352,NA,3027,1013
310879358,7353223,NA,4955,15
310879713,7708414,NA,77,22
310895198,3427,151,NA,225
310922919,2547911,NA,NA,9170
310923461,11545748,NA,132802,3975
310923503,3561540,382,187,137
310939210,NA,31864,2522,122341
310939327,5794181,NA,5125,363
310950357,1395677,NA,7415,9
310980883,55513903,6301,60259,1
310996186,74423,52572,7684,NA
310999693,348802,3797,5413,5
311021117,489556,NA,NA,48899
311042741,843435,51107,17473,3400
311051031,172294,NA,NA,2
311051379,1864594,NA,NA,174
311059034,552986,NA,NA,406
311060214,73802,NA,NA,NA
311069082,7296619,NA,9543,102
311077929,116346,NA,330,1
311087126,516951,NA,NA,565
311087175,48842750,14839886,734408,11751
311110274,4727899,23,311178,61309
311111207,1533640,191,NA,398
311139133,2745109,1382,NA,46
311159289,35360386,56576,84370,273
311159677,12624,NA,NA,2
311199715,998,NA,NA,998
311210488,483355,119160,1104,522
311210827,4656959,183159,76773,14
311211189,1320848,NA,NA,402
311221337,15938661,NA,87957,8929
311232730,NA,5682,635261,38085
311261283,834646,1,1,8
311274773,43910338,240282,1815950,252
311294862,4400706,22,NA,4
311295000,3624462,13785,417,1242
311306765,NA,14,524,NA
311314991,25733,14698,363242,25733
311315428,11572,NA,NA,NA
311348866,477366,700,1820,1198
311349500,198406,NA,NA,NA
311349757,190591,NA,NA,2
311350409,9035603,6478,57223,NA
311381784,805163,NA,16972,NA
311381842,NA,NA,NA,NA
311382709,176201,3632,NA,1
311384689,715539,NA,797,9
311392757,34856,NA,NA,NA
311406219,12778,488,7845,12778
311414072,24853855,70037,403779,7025
311426498,468640,299274,NA,NA
311463079,747069,NA,NA,10
311463129,53166,NA,NA,35
311471569,80594,44102,NA,1
311484901,38599,NA,NA,NA
311493316,340652,NA,13128,10974
311520118,12346095,327547,507557,710017
311548598,35688,NA,NA,NA
311568117,NA,356,727126,NA
311570444,3194821,NA,1500,7203
311584114,21262715,NA,NA,360
311622872,NA,NA,NA,NA
311623060,2340132,NA,44,6
311624175,31550,NA,NA,NA
311625529,518004,483,9841,19
311625537,1251549,NA,NA,1319
311638753,NA,15102,NA,875
311639306,686978,26481,1,4
311642227,882612,1002,NA,431
311650915,30332785,161440,79715,44
311665855,68832,NA,NA,NA
311668115,721614,1770,1800,30
311668156,3314934,4247,NA,2762
311702096,1500,NA,5296,NA
311711618,402098,2985,484,NA
311735443,5486767,489,NA,1107
311768188,226665,NA,NA,101
311771968,798038,29506,NA,3
311772487,3003224,NA,14674,4
311772537,528075,NA,NA,2516
311794697,311913,503,7187,NA
311801914,518505,90,1373,3
311810667,1997767,1150,NA,988
311810824,2896566,NA,390818,NA
311811228,45333,39237,NA,NA
311821920,NA,NA,NA,3665
311823454,676891,NA,NA,142
311833495,1239311,NA,NA,28
311877534,40415000,6651,333771,3875
311878276,8313099,466,13583,26
311901359,631497,2600,NA,47
311902704,1233392,26,855,2053
311915219,NA,NA,85765,95
311916282,711654,49,75053,85104
311931315,197186,NA,NA,NA
311935050,NA,NA,NA,NA
311960983,784265,132,1176,676
311962963,2460945,NA,NA,5
311976617,3190297,NA,390,23
312008303,269586,NA,4431,NA
312045396,638649,NA,NA,192
312055403,13851299,NA,324350,56
312083108,NA,NA,NA,418
312084924,52665,4,NA,6
312125552,3486967,712,144636,479
312125990,NA,NA,NA,15
312138043,4058584,NA,NA,18
312149057,2232158,NA,NA,2355
312153810,59848549,239310,1378854,903869
312168602,11191764,NA,61303,2990
312179005,1005480,NA,NA,14538
312180060,2789279,2789,NA,1209
312195092,7125322,1815,NA,34
312195365,NA,NA,NA,31
312196371,893587,479,103005,55
312263486,215790,NA,NA,NA
312263692,26617159,159666,NA,105
312273758,2165778,1188,NA,133
312284458,1427762,NA,NA,71
312286040,1406006,NA,NA,219
312309891,288710,NA,32000,NA
312310469,1033108,NA,6477,115
312310543,1036368,7044,NA,135
312311228,39518472,NA,496162,1144
312325913,1192608,NA,87,787
312327877,2790263,4535,32451,81
312328750,86102,689,1892,693
312329469,2226235,NA,NA,57
312346000,10240042,830,1365462,644361
312395718,388396,NA,NA,143
312398019,8381203,793408,99151,346
312398290,306753,NA,NA,1948
312409865,1911486,32,NA,1142
312410053,6794387,NA,2081,177
312411192,999671,19,1511,43
312423619,NA,NA,NA,NA
312426760,2892749,35475,66022,11317
312450166,102638,NA,NA,52
312452659,920368,NA,300175,NA
312453798,6212196,1042,14200,410
312479769,13098887,NA,597,13225
312480213,NA,NA,NA,NA
312493810,522491,NA,NA,819
312495880,779970,1652,NA,13
312496326,633693,1974,NA,31
312517147,424639,NA,NA,3
312519523,19210,NA,NA,NA
312519838,65521,47,3000,85
312536287,NA,NA,29249,4314
312536642,4710033,16718,10831,44
312550056,20784,2,10500,3
312550189,1033974,582,1000,293
312560485,521986,NA,NA,18
312560584,NA,1296586,396332,350179
312560899,165141,NA,NA,NA
312561327,NA,20,NA,2541
312561665,22809585,7692146,NA,NA
312562143,1404157,NA,NA,9
312563356,2465171,NA,NA,988
312577661,NA,NA,NA,NA
312612252,NA,7763,2,NA
312612534,815910,NA,NA,14146
312612732,4294791,115856,8664,34481
312614696,3224870,26181,10503,261
312646219,NA,32754,6193,12
312668890,1738878,237,NA,NA
312694425,3204768,841,1685880,5751
312694433,776097,NA,1500,40
312695984,280843,NA,NA,NA
312731060,8159602,532,4111,15
312731474,30530,NA,NA,NA
312756331,95507,NA,NA,17
312756455,2115425,NA,NA,135782
312756646,429657,39,NA,28
312757842,801312,16134,13155,967
312855968,11471364,NA,NA,46572
312937352,NA,NA,2637,40
312938285,NA,NA,NA,2
312938921,NA,NA,NA,635
312951478,1492160,NA,NA,9
312952245,1442366,NA,NA,1007
312962897,315219,NA,10000,304
312963127,111435,NA,45038,9
312975659,NA,102,NA,NA
312989346,537272,NA,NA,33
313014516,953018,NA,3075,5111
313014946,NA,NA,NA,NA
313015182,8945760,NA,1008200,84
313016644,509094,2114,1032,NA
313018913,2220356,NA,NA,132
313028854,436372,221030,344908,NA
313030371,571640,NA,NA,12
313030397,898186,NA,1296,NA
313040743,1882096,NA,NA,1
313051955,234974,NA,NA,1
313053126,213050,NA,NA,84
313062549,20370140,NA,NA,15645
313062788,NA,NA,NA,NA
313074791,21048588,21200,42554,1424
313088247,16430867,1192,NA,41
313088841,7776183,40388,269310,17
313125098,119508,NA,NA,14
313127011,NA,1,NA,NA
313127102,453521,NA,NA,114
313140345,843609,27,7991,1
313151466,91686173,NA,591716,1180
313197790,NA,1763,NA,NA
313221368,NA,53,899,NA
313241150,NA,NA,15090,NA
313242109,5837192,11468,43704,22865
313257024,383459,NA,1330,2
313271132,NA,NA,NA,NA
313272270,2740312,547,26382,8
313284895,6182231,NA,NA,123
313307928,835012,30188,NA,19758
313308330,739059,NA,75,527
313310138,1990610,230888,NA,16
313384752,6197791,NA,18270,2291
313386955,2400,NA,NA,NA
313387474,NA,NA,125484,NA
313389249,58913632,502458,8334,380
313389538,NA,600,NA,NA
313400541,830189,158917,3239,8
313400657,764002,4941,NA,2477
313402562,32887,NA,16521,NA
313412843,566278,NA,NA,NA
313413486,49401,NA,NA,NA
313414914,762266,16,NA,68
313446726,2380,NA,NA,NA
313455693,61,45205,NA,61
313468126,12976623,83163,3705886,368
313468738,391618,NA,45,9
313485344,NA,27333,29000,20
313510109,NA,22240,5833,59
313510646,2162,5254,96,NA
313523839,3407530,NA,NA,9214
313525610,11835838,129287,NA,1126
313549891,NA,NA,NA,NA
313553455,316351,63,8251,34872
313564841,3265038,NA,247676,NA
313567224,13059,NA,NA,NA
313607004,29480,749,359544,32721
313607012,624183,1,31050,126
313608424,2378104,NA,2545,21
313608937,44066,NA,NA,1
313609927,2763194,5505,81641,3366
313621096,90573,69,NA,2
313632440,23517,NA,NA,NA
313658908,165276,NA,NA,98
313669376,NA,NA,NA,203
313669640,358381,NA,30,NA
313670333,28396903,NA,16515,82
313671109,428638,NA,129,NA
313680191,44601306,8063,9976,3184
313689341,NA,7,NA,42397
313721649,NA,NA,NA,6268
313730806,265576,NA,396000,121
313742736,11159618,126,631927,429
313812984,NA,NA,NA,NA
313821498,NA,NA,213727,NA
313831455,1440132,6503,6877,NA
313832974,4911930,1992,49772,55
313841298,1104816,NA,NA,2
313842072,NA,NA,NA,NA
313842189,68545012,NA,264294,540102
313842650,1174278,56,6179,55
313842981,350857,3606,81181,NA
313883894,1506245,NA,NA,32
313886525,522253,36369,NA,101
313886863,522531,436,1320,NA
313906182,996509,1003,74,3956
313924573,1076138,NA,31352,16681
313924698,5842473,8901,43828,150
313954570,422655233,105502975,25940611,125
313956211,NA,19257,50445,3
313967721,NA,NA,NA,NA
313977241,576712,24,1932,99
313989238,159264,NA,NA,1
313997348,2078355,NA,NA,NA
313997637,1740473,NA,NA,89
314007667,280010,NA,NA,56755
314009986,513609,2148,NA,30278
314010315,54926,NA,NA,8
314016908,3539315,NA,801,NA
314036211,63690,NA,NA,NA
314036922,6534262,NA,81086,92130
314046301,209626,NA,NA,2728
314066564,24735,NA,NA,144
314091927,1286386,NA,540,160739
314175100,192860,NA,NA,2
314176314,901567,NA,NA,43
314197476,721812,40034,14765,NA
314197542,1906274,NA,NA,500
314209511,2181204,NA,NA,33
314209628,13077369,3733477,41693,93
314223041,1114069,NA,NA,12
314227042,726239,1186,2567,11
314227117,368673,NA,16,2956
314238841,573653,5361,NA,122
314239021,139272,1,NA,NA
314284845,933428,NA,10071,3811
314291014,1353261,NA,NA,96
314307224,NA,NA,NA,11
314319500,NA,NA,NA,NA
314329368,23830305,NA,67428,150
314344383,3279233,5721,NA,8681
314357666,947518,944,41916,1
314359142,399840,NA,NA,1
314360041,NA,763666,38800,6938249
314390949,3061772,NA,NA,1906
314392598,8385561,216690,42602,471
314398512,87084,NA,2358,NA
314406224,371084,34191,NA,1960
314419466,59997,NA,NA,NA
314428947,207748,NA,NA,40
314438573,1278048,44235,2351,87
314478991,435052,NA,25782,1
314490368,NA,NA,NA,798
314492075,588911,NA,NA,499
314513516,776375,NA,114567,1
314513946,2161276,NA,NA,4622
314515198,NA,180144,NA,5741
314515446,74238,NA,NA,NA
314527649,3182398,1754530,768,3402
314549536,2281192,NA,NA,128
314549841,NA,4689,NA,NA
314593112,6439488,NA,12616,9
314613175,NA,30080,16422,2
314613720,25931726,58972,NA,2579541
314625765,2505951,NA,1189,NA
314635053,5617024,8844,17604,1432
314637414,43979,NA,NA,NA
314647744,40377,15531,NA,NA
314648288,1935610,2325,NA,4402
314668880,NA,NA,NA,NA
314684572,20641332,544,NA,595
314685454,NA,NA,NA,NA
314686387,NA,NA,NA,NA
314695958,15600227,47432,NA,14330
314704289,492438,NA,15000,1211
314705096,5914654,NA,75874,NA
314765405,NA,NA,1750,629
314765413,2028111,NA,NA,23
314775990,856148,NA,NA,24
314788647,4016641,7559,NA,NA
314790528,250332,NA,NA,NA
314815606,NA,6848,2918,111
314816554,23674826,NA,2499,1817
314870387,8430532,70316,5228,972
314889346,NA,19652,32236,1699
314889460,352745,NA,NA,404
314900481,NA,NA,NA,469
314911702,127901,NA,NA,1
314911827,28983741,2334499,216915,1116
314912411,981487,1996548,30,NA
314925892,3271885,6382,29,12
314971821,1073648,5648,NA,30
314974577,352913,NA,137500,111
314978776,9147,NA,NA,NA
314979626,4564752,48146,52511,NA
314988890,NA,175,5665,3
314991084,1318858,42,47,NA
315013102,3684311,NA,22970,19
315043802,645450,1958,5446,411
315062612,NA,NA,NA,NA
315064188,13192552,NA,NA,591
315067983,NA,NA,NA,NA
315080762,NA,770,NA,1
315081455,912891,NA,3468,66
315081539,8104,NA,NA,177
315081711,5048977,3,6901,1456
315083378,843659,NA,417,2402
315129924,NA,8,NA,1722
315159228,2295476,NA,NA,1147
315175752,1740620,1138,NA,766
315215442,NA,35498,NA,2215
315270652,NA,NA,NA,NA
315280107,300304,NA,NA,4
315311159,742487,NA,1424,982
315311316,577672,NA,NA,218
315332569,NA,492,957251,2805
315334599,6873091,2686,4533,5
315334706,550350,41,NA,NA
315350181,NA,12650,150792,64313
315359216,NA,766398,NA,NA
315360487,189375,2576,NA,NA
315385732,802158,30,10707,17
315386235,NA,5,48000,NA
315398560,6320752,65292,49535,23520
315433763,NA,NA,NA,NA
315456681,1658135,3796,NA,41519
315475111,1233293,NA,500,399
315476341,13533,NA,NA,2
315492652,2094500,NA,NA,953
315501593,1568811,NA,NA,NA
315517318,16787308,174046,1171524,2780
315532432,1307529,NA,30634,714
315547356,566369,NA,1,9
315549816,4934834,7164,NA,NA
315560714,10562920,NA,38315,48
315565051,528926,NA,5789,1
315576009,661959,NA,317,NA
315587584,273584,NA,NA,4
315588418,332516,1646,NA,271
315620104,1955962,14804,NA,1
315629519,NA,NA,NA,NA
315633834,8293744,650,357754,12796
315652461,5068971,786,71328,179
315667022,NA,4,62778,220
315682609,672283,10765,3450,2605
315736082,1349596,NA,NA,1
315736280,279848,NA,NA,1
315781880,479305,3689,NA,22
315797738,2162514,NA,NA,148
315828608,32247,NA,NA,642
315831362,308,NA,61412,NA
315844399,301408,656,NA,NA
315855932,193514,NA,NA,7
315856047,822796,2352,14834,4204
315856187,1189033,NA,51291,76522
315870006,1228277,NA,20000,338
315870485,58216,NA,NA,85
315871541,NA,2827,NA,479
315882878,37354,NA,NA,NA
315904151,1751594,221,NA,12
315905182,13835930,1015,NA,5260
315929992,366596,1905,NA,824
315946244,391149,NA,145,177
315946814,797707,NA,2260,5
315965046,239542,NA,64414,NA
315966952,24000,8,NA,NA
315983288,543838,380,NA,857
315985812,851942,7766,NA,1211
315999656,412010,207,NA,676
316016930,179271931,410197,NA,148629
316024439,480872,NA,NA,693
316037761,67079,NA,NA,NA
316040252,15557304,NA,NA,34
316054089,222369,NA,NA,31
316054816,1302651,NA,NA,1700
316055292,NA,1067,NA,NA
316083567,70695327,857100,NA,48496
316085380,1541313,NA,NA,298
316110725,17248265,NA,NA,4212
316110832,715137,117,NA,6
316112473,10492204,NA,45166,25
316138460,4378228,NA,NA,1506
316138486,NA,3092,NA,260
316140953,355390,849,5190,26
316188028,513994,NA,3097,2406
316190172,233563,NA,NA,51
316252477,210270286,763587,NA,249089
316315662,96191,NA,NA,NA
316317981,347610,24544,2062,7
316342898,1382551,NA,NA,33684
316357185,4174093,10152,90280,144
316387471,756865,94,598,1254
316388719,11661116,7161,94385,6
316388867,1340894,NA,NA,555
316390251,2490903,17468,379,2302
316395177,9288529,NA,907,4041
316395888,208870,NA,NA,NA
316417690,21531311,60020,NA,16
316417773,39558,1,NA,18
316464981,NA,1839,NA,NA
316466952,415053,NA,5770,2
316468727,22176639,589820,23827,5
316472679,83777,NA,NA,13
316473024,335234,NA,NA,NA
316474766,31247187,12213,702035,32880
316474857,NA,1714,NA,2
316475284,1017182,217,8637,54232
316487099,1260961,NA,8179,14
316514066,1588271,NA,NA,1
316514769,15789358,NA,98529,329
316514850,1742271,1631,725,29
316514983,3446058,NA,50500,18
316522168,1073823,NA,1049,89
316522929,2064637,6,NA,1604
316539220,1141583,NA,5739,5
316539261,558788,NA,7800,4
316548023,9956709,5531,37838,2262
316559335,1937130,NA,NA,1
316559483,869898,13253,NA,7583
316571876,NA,NA,NA,1257
316605674,131343,NA,NA,31
316608272,8103709,42,13467,1605
316631134,981509,1447968,13835,154685
316644020,8409,253,379678,NA
316655042,14762622,NA,NA,NA
316655331,7126840,25404,NA,2289
316679422,403781,1922,19196,21
316696038,77061703,572082,380718,NA
316701242,20479,NA,NA,NA
316701473,3972606,108117,NA,NA
316701911,40960167,292298,37316,5492
316719855,1051429,7983,23299,NA
316722008,NA,NA,NA,NA
316722578,2500,NA,NA,NA
316731223,3782463,820,NA,3407
316732825,300005,395165,NA,5
316743095,41989921,3284727,325664,NA
316753102,8806286,NA,NA,3456
316753862,1792728,NA,NA,188
316754365,NA,NA,249093,220862
316788835,65468,8352,NA,52098
316789262,563600,1584,192,NA
316826452,3684204,NA,4774,330
316827005,442154,NA,63376,5157
316880509,24481,NA,NA,1
316883016,3066522,NA,NA,56
316916006,1979252,43,90675,3
316916758,1449286,NA,NA,17382
316944404,NA,1127,NA,NA
316944784,NA,NA,NA,NA
316980051,7456375,14207,NA,13976
317001691,NA,NA,NA,NA
317002277,4227301,NA,5573,17779
317005239,2782,1963,NA,2782
317007037,NA,NA,NA,7611
317007748,61759659,7159,28280,82804
317033108,NA,NA,NA,NA
317052629,420448,NA,31535,209
317063360,1753669,189,NA,957
317064889,627034,NA,3139,104
317099653,5207309,4944,33457,1839
317119113,1037897,NA,3215,66
317166650,242354,NA,11242,2
317193944,177742,3590,NA,177742
317194348,1163089,59422,153471,115
317194660,3062305,2012,63,387
317236610,872056,131,NA,10
317237147,10802019,85206,57000,4045
317237808,NA,687571,1480,248
317238061,51805918,86049,2122964,234
317238343,165006,NA,670909,6
317271328,4192474,NA,NA,1
317287167,965921,5672,100,18
317289957,NA,NA,26182,857
317308278,3270729,NA,2000,19
317328235,3911146,60532,236363,6393
317356343,2567747,NA,NA,170
317357101,803564,3620,1250,NA
317383800,NA,NA,NA,637
317399434,184250,NA,NA,614
317401065,45151079,111,107121,22045
317409423,545262,NA,NA,2
317410447,101631,NA,NA,1
317428464,2037846,NA,NA,11
317428787,484049,3418,NA,36
317453603,7351560,6517,NA,48141
317470995,2902873,NA,NA,50525
317515658,146850,NA,NA,2
317516888,640913,43,3187,43
317517092,593173,2599,11467,6
317517217,1255723,NA,6893,26
317527364,NA,NA,NA,NA
317538262,2519673,1844,NA,48
317553519,NA,NA,NA,NA
317555951,NA,NA,NA,NA
317557205,28602524,10256,NA,4743
317578425,3340994,1432,NA,NA
317599835,4921005,23766,4563,923
317628113,470662,NA,NA,4
317667277,7116701,41,573,2662
317682235,46,NA,NA,46
317684967,2508866,12673,NA,1548
317693570,NA,NA,NA,8567
317693786,NA,NA,NA,NA
317706570,8615344,5759,228,25
317708428,7367103,NA,6142,620
317722569,5001837,NA,1260,5002
317734309,7821131,512,18709,243
317734804,3859020,4127,16358,NA
317736650,613796,66,2173,30
317750255,117483,NA,69432,3
317760320,6043821,12050,573000,6610
317761260,207494,NA,NA,NA
317781326,395720,NA,5363,63
317803138,5883534,NA,169289,4
317804284,707436,13,NA,3812
317824084,NA,NA,400,455
317837565,59903,NA,401,11
317837581,26846667,3875,181728,1245
317837607,5232893,NA,2594,6881
317839967,28634,NA,1338,3
317853703,691356,NA,10159,NA
317866374,NA,929596,NA,66306
317866895,5016461,325,307,45
317867596,795236,NA,559,1777
317884732,345408,NA,NA,9864
317885374,35946896,197743,4694488,76833
317897270,NA,117,NA,NA
317897387,145483,NA,NA,NA
317925261,147491,NA,NA,NA
317925501,NA,NA,13804,2
317928984,6636280,29720,114298,3975
317959336,5986357,9857,15000,66
317962975,36901,NA,NA,1
317978898,132960,NA,NA,NA
317979169,4780368,NA,NA,NA
318007663,63526,NA,NA,NA
318022175,9672135,203,40375,1259
318022738,31881813,33540,1171217,170262
318068111,1346208,NA,NA,259
318071354,1336764,NA,NA,1
318083201,30755878,19332,13333,53
318101805,143950,NA,NA,4
318163193,789132,NA,NA,2
318165065,571982,NA,11329,11
318174125,3714538,6601,145034,NA
318185352,7501,NA,NA,1
318186152,NA,NA,NA,2
318186756,23,103002572,NA,23
318187382,650,NA,NA,650
318187556,3537577,632,NA,3
318197670,379595,5543,762,NA
318197860,1633519,NA,NA,41420
318208337,4205538,715,NA,553
318226438,21705442,189109,6079,86
318226974,59784914,NA,161347,246277
318248150,5884987,NA,NA,194
318250255,3636383,5,30050,10
318252368,5642381,41,NA,1297
318263605,4595157,NA,91719,12
318276128,NA,NA,NA,337
318277183,4015995,514,125,96
318277258,2391025,289,NA,3
318289303,678576,65041,770,13
318291424,2356919,NA,NA,3
318291838,244558,NA,NA,52
318300209,1816689,NA,137723,585507
318309218,988206,25,NA,33637
318310356,2987212,13531,23125,9
318332582,1416252,NA,NA,1405
318339389,534973,NA,1786,3
318355591,1426106,NA,NA,1
318357332,116554,NA,NA,NA
318357944,919460,NA,NA,4091
318378346,13845004,55668,NA,15956
318381324,3635601,NA,20483,150
318393303,1014908,NA,68526,4539
318402625,474534,2,NA,1000
318404605,NA,NA,3187,153
318416070,NA,NA,NA,6
318425014,1748736,NA,NA,1397
318445616,149380,NA,NA,NA
318445640,515007,NA,2070,327
318457025,6372588,NA,2989,16889
318458478,315789,NA,1484,1
318477569,3372825,5145,11845,35107
318488756,16317195,216200,NA,1680
318490257,NA,NA,7881,20
318491578,2639143,NA,NA,2
318502978,10986049,NA,38504,15311
318504065,880107,17659,2500,24
318533064,306262,NA,NA,214
318545324,1610067,NA,NA,77
318547148,770191,NA,6853,136
318547536,969385,NA,3300,22
318549219,670,3057,NA,124
318550332,1908385,NA,NA,NA
318557600,1783842,NA,NA,481
318570512,51905,189,NA,NA
318605276,NA,NA,NA,NA
318608031,NA,319,175,NA
318610623,11212156,NA,97158,5163
318621984,6362622,NA,353360,33
318637121,8971281,94101,74710,144
318648235,884866,1,103965,159
318648896,NA,NA,19,NA
318649381,4923716,NA,176275,29534
318659000,484087,58841,NA,6
318685773,148239,NA,NA,13
318687522,539625,2033,NA,2
318698719,9786948,7334,23416,2514
318707403,462470,4,NA,4527
318734530,1337929,NA,NA,24590
318744869,NA,673,NA,NA
318759958,92651,NA,NA,40
318763505,6219891,NA,4288,7
318771623,53390396,9741,NA,80212
318772324,10157379,336,110314,2661
318772498,560579,498,219,15
318772969,24171406,125860,NA,918
318773538,4036097,NA,NA,137
318800174,1090414,NA,8578,150
318801172,9271142,NA,202088,2514
318812336,2693109,95007,28263,NA
318843240,NA,6956,NA,NA
318844933,7952872,506,183,93018
318845153,906209,55922,324,14
318850930,548187,NA,1165,40
318850971,30000,NA,NA,NA
318868627,51312,NA,NA,NA
318870029,NA,NA,NA,NA
318881208,6656,5938,NA,NA
318881315,NA,5890,NA,NA
318894789,NA,61,74251,1774
318906591,129858111,848983,2432670,6208899
318908621,14189,NA,NA,14189
318919073,NA,NA,NA,NA
318920204,5966802,32822,31536,8339
318961695,NA,40147,NA,534201
318975455,NA,NA,NA,5
318976172,29883,37444,30640,5118
318977014,52364697,102571,1085976,593
319024899,31082139,84,65137,498680
319032140,6046329,242970,7656,24964
319073219,1268981,NA,NA,55
319076220,4874583,NA,16611,3651
319100533,3395853,255,27293,10292
319115663,374583,10310,NA,686
319116265,834354,2249,10412,1424
319116612,388834,NA,2441,22
319137949,945985,671,1459,39
319150405,31210,NA,NA,3
319160297,1228916,NA,NA,850
319179164,207221,NA,NA,NA
319187787,280602,2888,NA,NA
319187845,4155766,7023,71900,2355
319201810,NA,7562651,NA,NA
319213807,1318758,24616,NA,2718
319227559,66637804,459972,30599,163102
319242608,2394527,589,128255,NA
319245098,394973,3,NA,5
319252441,219932439,2436833,NA,33505
319252458,88970,9143,NA,NA
319269296,734443,NA,910,6884
