siren,Total des produits d’exploitation,Total des produits financiers,Total des produits exceptionnels,Autres produits
378429690,149635,NA,NA,NA
378526206,969735,NA,1100,1082
379072200,365467,NA,NA,9604
379166325,83142143,130304,217815,185358
379441546,4,NA,NA,4
379456973,NA,NA,NA,200
380030320,83520,1734,250000,102
380405530,53875,NA,NA,NA
380497214,16250,NA,NA,NA
380792440,5367488,NA,96944,279
381350685,9000,NA,NA,NA
381352707,89113,5819,NA,3
381491919,501177,34,2953,12412
381653625,189078,NA,NA,1
381692565,2033011,NA,NA,57
381905140,816489,NA,NA,11574
381979855,710174,120,10999,NA
382338267,5980966,NA,293112,219
382445922,NA,28779,15837,9449
382698876,3275058,890,81912,3037
382827384,156193,NA,NA,123
383006525,280401,1613843,NA,25
383127990,93689,50,NA,1
383299989,73820,NA,NA,NA
383409059,622857,1046,NA,NA
383471786,29718,NA,2533,NA
383486065,417755,NA,12393,25
384026951,416198,34775,NA,3
384033908,1658504,NA,NA,NA
384037917,137451,NA,NA,24
384111894,7003289,3544,NA,6
384182226,685494,NA,NA,448
384307732,2220,NA,21,NA
384394094,1175647,NA,2790,3
384439113,2597614,NA,NA,25592
384525622,218460,NA,NA,640
384867156,3076303,438,NA,294
384906418,1473453,NA,NA,38
385091210,1801702,833,NA,50007
385254008,77657052,108243,542966,155010
385259817,1457817,2810,NA,1100
385337498,NA,NA,NA,319
387888894,NA,NA,NA,NA
387978356,30068020,NA,57217,62
388415739,370338,NA,2297,10
388777393,798909,69,4566,376
388797938,1116325,NA,NA,14
389126541,304034,NA,NA,NA
389244518,235502,1924,2016,NA
389352659,446502,6825,134,NA
389478041,1022578,NA,NA,2
389652116,NA,17,2685,NA
389874751,4223532,4746222,2927429,498
389893462,649132,5691,3057,NA
389901703,911911,7804,NA,13
390013944,19298,NA,45000,411
390032480,NA,1,NA,23
390184380,410784,52,17267,17
390197333,497128,257,1595,NA
390236669,68552,10292,12960,NA
390328730,470351,NA,NA,60
390337848,64933,NA,395500,250
390702801,619015,NA,38988,1222
390733673,16000,267154,5000,16000
390946549,NA,11469,NA,NA
390967859,137271,NA,NA,1
391529948,218260,NA,7793,3446
