year,siren,Subventions d’exploitation
2015,25880626,NA
2015,27280296,NA
2015,35620582,NA
2015,35620657,NA
2015,35621226,NA
2015,35720036,NA
2015,35720085,NA
2015,35720523,NA
2015,35820547,NA
2015,36820348,NA
2015,36920643,NA
2015,36921146,NA
2015,37020252,NA
2015,37150182,NA
2015,37221447,NA
2015,37322062,NA
2015,45780566,NA
2015,45980091,NA
2015,46550372,NA
2015,46720124,NA
2015,47120019,NA
2015,47220256,389906
2015,47250444,NA
2015,47320114,NA
2015,54390505,24913
2015,54801824,NA
2015,54802293,NA
2015,54805577,NA
2015,54807250,NA
2015,55500979,5302
2015,55503254,NA
2015,55801039,NA
2015,55802052,4200
2015,55806673,NA
2015,55808034,NA
2015,55808224,NA
2015,55809404,NA
2015,55809602,NA
2015,55811996,1000
2015,56801053,NA
2015,56801848,NA
2015,56802218,NA
2015,56802499,36361
2015,56803000,NA
2015,56803919,NA
2015,56808462,NA
2015,57801342,NA
2015,57803405,NA
2015,57803660,NA
2015,57804684,NA
2015,57805418,NA
2015,57808032,NA
2015,57808172,NA
2015,57809162,NA
2015,57809402,NA
2015,57812158,NA
2015,57813677,NA
2015,57814097,NA
2015,57814352,3001
2015,57814469,NA
2015,57815839,NA
2015,57816290,NA
2015,57818262,NA
2015,57820110,NA
2015,57820995,NA
2015,58501107,NA
2015,58501362,NA
2015,58803396,NA
2015,58805524,NA
2015,58806647,NA
2015,58807413,NA
2015,58808353,2970
2015,58808502,NA
2015,58812405,NA
2015,59801126,NA
2015,59801993,NA
2015,59806653,NA
2015,60500089,NA
2015,60800109,NA
2015,60801016,NA
2015,60801099,NA
2016,5420120,NA
2016,5450119,NA
2016,5520176,NA
2016,5520242,17162
2016,5580113,12177
2016,5580501,NA
2016,5580683,NA
2016,5620034,NA
2016,5620190,3682
2016,5650031,3092
2016,5650148,NA
2016,5650189,16522
2016,5680541,NA
2016,5720164,130745
2016,5720602,NA
2016,5720610,NA
2016,5720644,NA
2016,5720651,NA
2016,5720784,NA
2016,5750377,NA
2016,5750385,4570
2016,5750583,NA
2016,5780044,2544
2016,5780283,NA
2016,5780390,2500
2016,5780960,116746
2016,5781133,NA
2016,5820378,2690
2016,5820428,16503
2016,5820477,5105
2016,5880596,NA
2016,5920194,500
2016,5950159,NA
2016,6076434,5000
2016,6180301,3716
2016,6220065,494
2016,6250104,439
2016,6280234,NA
2016,6280309,NA
2016,6320048,537
2016,6380042,NA
2016,6380117,NA
2016,6380158,NA
2016,6380315,76316
2016,6450043,1472
2016,6450225,NA
2016,6480065,8778
2016,6520126,2793
2016,6580161,NA
2016,6580195,NA
2016,6620124,458
2016,6650089,53837
2016,6650097,NA
2016,6720049,NA
2016,6720064,NA
2016,6780514,NA
2016,6850234,NA
2016,6850259,656
2016,6880090,NA
2016,6980387,NA
2016,6980395,1589
2016,7050040,2402849
2016,7050073,NA
2016,7050123,NA
2016,7080013,NA
2016,7080021,NA
2016,7080054,14964
2016,7080195,500
2016,7080443,17551
2016,7080708,NA
2016,7080757,8474
2016,7080773,320
2016,7120066,NA
2016,7150030,NA
2016,7150303,NA
2016,7180516,NA
2016,7180532,NA
2016,7180680,NA
2016,7220338,NA
2016,7250202,5852
2016,7280308,NA
2016,7280365,17350
2016,7280605,NA
2016,7320047,NA
2016,7320187,NA
2016,7320294,NA
2016,7350077,NA
2016,7350184,NA
2016,7350200,NA
2016,7380017,NA
2016,7380215,NA
2016,15450620,NA
2016,15450638,19059
2016,15450711,NA
2016,15450752,NA
2016,15451214,NA
2016,15451412,84566
2016,15550650,NA
2016,15550775,NA
2016,15550882,NA
