siren,denomination,postal_code,town,ape
57805418,SOCIETE NOUVELLE DU GOLFE DES LECQUES,83270,SAINT-CYR-SUR-MER,5510Z
57808032,CAFES LACAMP,13005,MARSEILLE,1083Z
57808172,DELTA ASSURANCES,13010,MARSEILLE,6622Z
57809162,STE MARSEILLAISE DE LOCATION DE COURTS DE TENNIS,13008,MARSEILLE,9311Z
57809402,LES FILS DE PIERRE ESPOSITO,13016,MARSEILLE (16E),4638A
57812158,GAUDIN ORFEVRE DECORATION CADEAUX,13001,MARSEILLE,4759B
57813677,MAISON EMPEREUR,13001,MARSEILLE,4752A
57814097,SOCIETE NICOLAS FRERES,13002,MARSEILLE,5224A
57814352,SOCIETE DU GRAND MODERN HOTEL,13001,MARSEILLE (1ER),5510Z
57814469,ANTOINE REVEL SARL,13006,MARSEILLE,6820B
57815839,ECOLE SUPERIEURE DE COMMERCE DE MARSEILLE,13006,MARSEILLE (6E),8559B
57816290,LAINES JEAN SILVESTRE,13001,MARSEILLE (1ER),4751Z
57818262,LIBRAIRIE DE LA BOURSE FREZET LIBRAIRES,13001,MARSEILLE (1ER),4761Z
57820110,SOCIETE IMMOBILIERE DES PHOCEENS,13006,MARSEILLE (6E),6832A
57820995,RAVEL DECROIX ET FILS,13400,AUBAGNE,2349Z
58501107,COTHERM,38470,VINAY,2651B
58501362,LIBRAIRIE PAPETERIE CHEMAIN,38500,VOIRON,4761Z
58803396,COMPTOIR MARSEILLAIS D'ALIMENTATION,13006,MARSEILLE,5610C
58805524,MIDI SEC DISTRIBUTION HERATCHIAN ET FILS,13014,MARSEILLE (14E),4631Z
58806647,MAISON DE REPOS CASTELET NOTRE DAME,13830,ROQUEFORT LA BEDOULE,8730A
58807413,SARL O MONACO,13001,MARSEILLE (1ER),6820B
58808353,SOCIETE DELTA SCIENTIFIQUE,13012,MARSEILLE,4646Z
58808502,ETABLISSEMENTS D AURIA,13001,MARSEILLE,4642Z
58812405,MARSEILLE INDUSTRIE,13015,MARSEILLE (15E),6820B
59801126,SOCIETE D EXPERTISE COMPTABLE G SERIS ET CIE,13298,MARSEILLE CEDEX 2,6920Z
59801993,LA PLAGE,13260,CASSIS,5510Z
59806653,LA GLACIER,13260,CASSIS (B D R ),5630Z
60500089,FINANCIERE SORREL,38570,GONCELIN,6420Z
60800109,OPTIQUE MARITIME DE FRANCE SAMBRONI ET CIE,13002,MARSEILLE,3313Z
60801016,M MOD,13011,MARSEILLE,4771Z
60801099,ETS ROGER TONETTI,13600,LA CIOTAT,4673A
5420120,STE DES SUCRERIES DU MARQUENTERRE,62140,MARCONNELLE,7010Z
5450119,LE GRAND CAFE ET GASSENDI,04000,DIGNE-LES-BAINS,5630Z
5520176,HERNAS CARTONNAGES,80210,FEUQUIERES-EN-VIMEU,1721A
5520242,PROSPA,80510,LONGPRE-LES-CORPS-SAINTS,2030Z
5580113,L'ABRI FAMILIAL,44603,ST NAZAIRE CEDEX,6820A
5580501,SOCIETE DES GLACIERES ET FRIGORIFIQUES DE SAINT-NAZAIRE,75008,PARIS,5210A
5580683,HOSTELLERIE DE LA TOQUE BLANCHE,92240,MALAKOFF,5510Z
5620034,ETABLISSEMENTS ROGER,80100,ABBEVILLE,4673A
5620190,L'OISEAU BLEU,80100,ABBEVILLE,4939A
5650031,SARL RIGAULT ET CIE,04240,ANNOT,1013A
5650148,SCIC VALDURANCE HABITAT,04000,DIGNE LES BAINS,6820A
5650189,DUFOUR SISTERON,04200,SISTERON,1011Z
5680541,IMMOBILIERE ATELIERS DAVID,44350,GUERANDE,6820B
5720164,SAINTE ISABELLE,80100,ABBEVILLE,8610Z
5720602,SOCIETE IMMOBILIERE DU MONOPRIX D'ABBEVILLE,92110,CLICHY,6820B
5720610,"PICARDIE MARITIME HABITAT ""FONDATION PAUL DUCLERCQ""",80100,ABBEVILLE,4110A
5720644,ETS DEMORTAIN,80120,RUE,4752A
5720651,RENE DUFOUR,69002,LYON,6820B
5720784,ETABLISSEMENTS DECAYEUX,80210,FEUQUIERES EN VIMEU,2599A
5750377,GARAGE GIRAUD,04000,DIGNE-LES-BAINS,6820B
5750385,ENTREPRISE COMBA,04700,ORAISON,4399C
5750583,"SERVICES , ASSISTANCE, ET TRANSACTIONS AUTOMOBILES",04400,BARCELONNETTE,4730Z
5780044,PEINTURES SYNTHETIQUES MODERNES,44600,SAINT NAZAIRE,2030Z
5780283,STE HALLEREAU & CIE,44350,GUERANDE,6820B
5780390,TRANSPORTS DE LA BRIERE,44600,ST NAZAIRE,4939A
5780960,SOCIETE IMMOBILIERE TOURISTIQUE ET HOTELIERE DE LA BAULE EN,44500,LA BAULE ESCOUBLAC,5510Z
5781133,IDEA GROUPE,44550,MONTOIR DE BRETAGNE,5229B
5820378,ENTREPRISE DEMOUSELLE,80100,ABBEVILLE,4321A
5820428,DUCROCQ ET CIE,80150,NOYELLES EN CHAUSSEE,4623Z
5820477,ETABLISSEMENTS RAOUL DAVERGNE,80210,FEUQUIERES-EN-VIMEU,2454Z
5880596,GEDIMO HOLDING,44460,SAINT-NICOLAS-DE-REDON,6420Z
5920194,SARL BEAUVISAGE TOULLET,80150,BRAILLY-CORNEHOTTE,4661Z
5950159,SARL BARNEAUD ET GIRAUD,04000,DIGNE-LES-BAINS,4778B
6076434,MENUISERIE CHARPENTE PIED PERRAUD,44380,PORNICHET,4332A
6180301,SOCIETE FINANCIERE ATLANTIC SOFIA,44600,SAINT-NAZAIRE,7010Z
6220065,ENTREPRISE OSCAR SAVREUX,80550,LE CROTOY,0812Z
6250104,"SOCIETE D INTERET COLLECTIF AGRICOLE ""LES PRODUCTEURS ASSOCI",04160,L'ESCALE,4631Z
6280234,LE GAL,44550,MONTOIR-DE-BRETAGNE,4399D
6280309,COMPTOIR ATLANTIQUE DONGEOIS DE DISTRIBUTION ET D 'APPROVISI,44480,DONGES,2363Z
6320048,SOCIETE DE MOISMONT,80120,VRON,6820B
6380042,LABORATOIRE NUTERGIA,12700,CAPDENAC GARE,1086Z
6380117,IMPRIMMO,44350,GUERANDE,6810Z
6380158,ESPACE DOMICILE SOCIÉTÉ ANONYME D'HABITATIONS À LOYER MODÉRÉ,44570,TRIGNAC,6820A
6380315,HORIZON AUTOMOBILES,44570,TRIGNAC,4511Z
6450043,SOCIETE DE FABRICATION ALIMENTAIRE PROVENCALE SOFALIP,04700,ORAISON,1039B
6450225,LOU SAN PEYRE,13410,LAMBESC,6420Z
6480065,TRANSPORTS MORAND FRIGORIFIQUES,44550,MONTOIR DE BRETAGNE,4941A
6520126,LE GROS TILLEUL,80120,ARGOULES,5510Z
6580161,SOCIETE DES PRODUITS EN BETON ET MATERIAUX DE CONSTRUCTION D,44160,SAINTE-REINE-DE-BRETAGNE,2361Z
6580195,SOCIETE INDUSTRIELLE POUR LE DEVELOPPEMENT DE LA SECURITE,44600,SAINT-NAZAIRE,2910Z
6620124,DECOUPAGE ET MOULAGES D'ELASTOMERES,80770,BEAUCHAMPS,2219Z
6650089,HABITATIONS DE HAUTE PROVENCE,04005,DIGNE LES BAINS CEDEX,6820A
6650097,DOMAINE DU VERDON,04120,CASTELLANE,5530Z
6720049,BORFLEX SERVICES,76800,SAINT-ETIENNE-DU-ROUVRAY,4676Z
6720064,LE PALAIS DE L'AUTOMOBILE ABBEVILLE,80000,AMIENS,4511Z
6780514,SOCIETE FRANCAISE D'OUTILS PROFESSIONNELS SOFOP,44550,MONTOIR DE BRETAGNE,2229B
6850234,ETABISSEMENTS GARCIN FRERES,04210,VALENSOLE,4621Z
6850259,ETABLISSEMENTS MICHEL,04510,LE CHAFFAUT SAINT-JURSON,4332B
6880090,PONTCHATELAINE D'EQUIPEMENTS CIDRICOLES,44160,PONTCHATEAU,2893Z
6980387,STÉ DES ETS ALLAIRE,44117,SAINT-ANDRE-DES-EAUX,6820B
6980395,A L'ETABLI GUERANDAIS,44350,GUERANDE,4332A
7050040,CENTRE DES CARMES,04510,AIGLUN,8610Z
7050073,CENTRE DE READAPTATION FONCTIONNELLE L EAU VIVE,04250,LA MOTTE-DU-CAIRE,6820B
7050123,STE DES ETABLISSEMENTS GUIGUES,04000,DIGNE-LES-BAINS,4674A
7080013,COOPERATIVE MARITIME DU CROISIC,44490,LE CROISIC,4669C
7080021,SOCIETE COOPERATIVE D'APPROVISIONNEMENT DE L'OUEST,44360,SAINT ETIENNE DE MONTLUC,4617A
7080054,LOUIS HEMERY,44460,SAINT NICOLAS DE REDON,2511Z
7080195,LANG CONSTRUCTION,44600,SAINT-NAZAIRE,4399C
7080443,LAITERIE DU GRAND CLOS,44160,PONTCHATEAU,4633Z
7080708,STE PROMOTIONNELLE D'OPTIQUE (SPO),44000,NANTES,4778A
7080757,LA CHAUDRONNERIE NAVALE ET INDUSTRIELLE,44550,MONTOIR-DE-BRETAGNE,3320A
7080773,CARRIERES MEN ARVOR,44460,AVESSAC,0811Z
7120066,SOCIETE LECLERC IMPRIMERIE,80100,ABBEVILLE,1812Z
7150030,HOTEL LE SAINT JEAN,04140,MONTCLAR,5510Z
7150303,D. MAFFREN,05300,LE POET,1082Z
7180516,SOCIETE NAZAIRIENNE DE DEVELOPPEMENT,44600,ST NAZAIRE,4299Z
7180532,CENTRE AUTOMOBILE DE L'ETOILE,44600,SAINT-NAZAIRE,4511Z
7180680,SOCIÉTÉ MASUY,44220,COUERON,6820B
7220338,VANNERIE CANDAS FRERES,80150,LE BOISLE,4649Z
7250202,ENTREPRISE PIERRE PESCE,04200,SISTERON,4339Z
7280308,SARL POMMIER,44117,ST ANDRE DES EAUX,4322B
7280365,ATLAGEL,44400,REZE,4639A
7280605,CONVENANT S.A.,44360,VIGNEUX-DE-BRETAGNE,7010Z
7320047,ETABLISSEMENTS RAUX,80100,ABBEVILLE,4778B
7320187,ETABLISSEMENTS LAGRANGE,80100,ABBEVILLE,4531Z
7320294,GARAGE DU VIMEU,80210,FEUQUIERES EN VIMEU,4511Z
7350077,ETABLISSEMENT BLANC ET FILS,04000,DIGNE-LES-BAINS,4332A
7350184,SOCIETE DE CONSTRUCTION DU BATIMENT,04140,SEYNE,4322A
7350200,ENTREPRISE MINETTO,04200,SISTERON,4312B
7380017,STATION NAUTIQUE DE KERCABELLEC,44420,MESQUER,6820B
7380215,ETABLISSEMENTS POITEVIN PÈRE & FILS,44420,MESQUER,4399C
15450620,S. A. F. I. K. -(SOCIETE ANONYME FINANCIERE ET IMMOBILIERE K,21850,ST APOLLINAIRE,6430Z
15450638,SOCIETE ANONYME D HABITATIONS A LOYER MODERE HABELLIS,21000,DIJON,6820A
15450711,CIT AEROSPACE HOLDINGS (FRANCE) SAS,75007,PARIS,6492Z
15450752,ABBOTT PRODUCTS DISTRIBUTION SAS,94518,RUNGIS CEDEX,6630Z
15451214,KER LIBERTE,35200,RENNES,4751Z
15451412,EIFFAGE CONSTRUCTION BOURGOGNE FRANCHE COMTE,21600,LONGVIC,4120B
15550650,SOCIETE D EXPLOITATION DES MARQUES ALLIEES - FIRMES : CHRIST,21220,GEVREY CHAMBERTIN,4634Z
15550775,GUILLEMIN,21600,LONGVIC,2849Z
15550882,GADEST,21300,CHEN,4531Z
