year,siren,"Reprises sur amortissements et provisions, transfert de charges",Reprises sur provisions et transferts de charges financier,Reprises sur provisions et transferts de charges exceptionnel,Achats de marchandises (y compris droits de douane),Achats de matières premières et autres approvisionnements,Autres achats et charges externes,Salaires et traitements,Charges sociales
2016,7350077,NA,NA,NA,NA,75198,32227,64898,30182
2016,7350184,8056,NA,NA,NA,301568,69203,296193,57670
2016,7350200,256551,NA,NA,NA,2918707,5936966,2834872,967103
2016,7380017,NA,NA,NA,NA,NA,848,NA,NA
2016,7380215,2468,NA,68455,NA,132771,159297,232841,133750
2016,15450620,NA,110917,NA,NA,NA,23063,NA,NA
2016,15450638,4194590,36,1025,NA,NA,15833384,3289887,1571086
2016,15450711,NA,NA,NA,NA,NA,467760,NA,NA
2016,15450752,3751843,NA,NA,NA,NA,1899362,2616169,512090
2016,15451214,NA,NA,NA,NA,NA,123757,NA,NA
2016,15451412,1526935,NA,87000,NA,4134177,35372805,5816331,3811153
2016,15550650,17110,NA,12228,NA,259057,224220,384414,125636
2016,15550775,42581,NA,NA,123,930723,NA,1126948,474067
2016,15550882,1353971,NA,6319647,37534459,NA,NA,10392663,3766721
