siren,Chiffres d’affaires nets,"Impôts, taxes et versements assimilés"
5750583,4767634,36864
6280309,20586907,300490
6850234,19548022,192034
7080260,9318160,80993
7120066,4735738,46511
15650807,1000,2065
15850944,3276247,77848
16750564,32186,5243
17050220,5279426,66673
17150921,1000017,18993
17150947,241271,NA
24038010,364680,12575
24056137,389468,1511
24066193,10516648,144713
24068462,556610,3858
24085953,5575443,102111
25880626,4806732,86602
27280296,1509723,29565
35620582,722082,31759
35620657,108773,8914
35621226,892358,37279
35720036,1275331,105261
35720085,334598,8308
35720523,267629,8653
35820547,173891,5102
36820348,511202,13813
36920643,2989728,17369
36921146,3027819,18830
37020252,1937422,NA
37150182,1020591,135455
37221447,94726,604
37322062,4268941,98336
45780566,171715,7370
45980091,436355,34064
46550372,3255845,38477
46720124,22196,15156
47120019,48740485,568409
47220256,21396237,1864279
47250444,1405164,30748
47320114,1256438,5240
54390505,1489019,41014
54801824,53349,3049
54802293,4679669,32169
54805577,11392694,776204
54807250,19095,684
55500979,23040597,264541
55503254,116710,3388
55801039,425186,4563
55802052,432178,6971
55806673,3729797,213682
55808034,167267,682
55808224,5243215,42855
55809404,28580283,560638
55809602,29896548,69053
55811996,30995050,755886
56801053,26381,4512
56801848,63000,8438
56802218,15933750,96835
56802499,16473840,353971
56803000,7029313,135431
56803919,NA,6761
56808462,NA,192
57801342,138766,22294
57803405,94958,1054
57803660,542870,19106
57804684,2164610,52795
57805418,1792593,74908
57808032,222501,1428
57808172,11100321,812051
57809162,97300,4126
57809402,4975630,12009
57812158,453900,1792
57813677,3462440,38374
57814097,4307317,51658
57814352,1491225,35055
57814469,774862,83069
57815839,NA,NA
57816290,26678,673
57818262,257389,9741
57820110,NA,8256
57820995,1918898,NA
58501107,36480926,368272
58501362,1057899,7690
58803396,1632941,9327
58805524,2250545,20479
58806647,2063104,104102
58807413,22800,384
58808353,1714777,4500
58808502,2441530,9465
58812405,3119853,311084
59801126,426797,5842
59801993,1201061,38718
59806653,474875,12171
60500089,20389,8983
60800109,1478568,6031
60801016,177640,1768
60801099,14567196,197088
5420120,104225,214907
5450119,NA,NA
5520176,NA,202747
5520242,6999451,204747
5580113,1618851,1722
5580501,NA,74059
5580683,NA,898
5620034,5141798,35870
5620190,6394539,151469
5650031,1723897,10465
5650148,NA,313
5650189,35566260,308396
5680541,292994,45972
5720164,18362422,767964
5720602,117265,17445
5720610,49158,1950
5720644,233151,1443
5720651,NA,6813
5720784,36120611,761554
5750377,15600,NA
5750385,1242382,6960
5750583,4459071,38177
5780044,1369952,12774
5780283,NA,7193
5780390,3094805,73025
5780960,33688865,1129902
5781133,18519008,296514
5820378,32457094,492850
5820428,10934677,35165
5820477,11421468,198368
5880596,124877,1240
5920194,6135830,29831
5950159,4460423,22912
6076434,1979644,26823
6180301,3724524,181123
6220065,8846483,296554
6250104,88067,59
6280234,3878252,60682
6280309,21135788,251261
6320048,143452,13099
6380042,38902093,673321
6380117,116582,8384
6380158,NA,1843788
6380315,37641826,243599
6450043,11461841,97433
6450225,NA,164
6480065,4482781,65644
6520126,295986,6526
6580161,9798265,NA
6580195,43952799,741648
6620124,2832141,21934
6650089,26258244,3552012
6650097,1783311,57105
6720049,1522643,64216
6720064,50679804,326343
6780514,32890002,683409
6850234,9036567,86489
6850259,1910125,23465
6880090,189734,2797
6980387,667086,87428
6980395,728588,10413
7050040,8219477,704042
7050073,408860,58861
7050123,568931,11829
7080013,2288679,21099
7080021,1399574900,3062438
7080054,12593706,204575
7080195,17960971,102642
7080443,11201930,44788
7080708,1527204,12520
7080757,8251312,89820
7080773,6985675,165743
7120066,4044179,57824
7150030,345525,15012
7150303,3894109,42327
7180516,4869187,57006
7180532,64628722,473390
7180680,362863,41800
7220338,1225959,6234
7250202,345961,5896
7280308,294929,2349
7280365,28280454,220675
7280605,5685334,145302
7320047,6554956,NA
7320187,1975124,16438
7320294,13590608,93122
7350077,193541,6366
7350184,775583,6601
7350200,12992215,173421
7380017,9492,1945
7380215,725389,8237
15450620,48434,9688
15450638,45004696,4173514
15450711,NA,9217
15450752,1022631,77304
15451214,151256,12392
15451412,50732959,NA
15550650,2683715,40940
15550775,5876188,58118
15550882,71042566,909792
