,year,"Autres impôts, taxes et versements assimilés",Ventes de marchandises,Production vendue biens,Production vendue services,Chiffres d’affaires nets,Production stockée,Production immobilisée,Subventions d’exploitation,"Reprises sur amortissements et provisions, transfert de charges",Autres produits,Total des produits d’exploitation,Achats de marchandises (y compris droits de douane),Variation de stock (marchandises),Achats de matières premières et autres approvisionnements,Variation de stock (matières premières et approvisionnements),Autres achats et charges externes,"Impôts, taxes et versements assimilés",Salaires et traitements,Charges sociales,Autres charges,Total des charges d’exploitation,Résultat d'exploitation,Bénéfice attribué ou perte transférée,Perte supportée ou bénéfice transféré,Produits financiers de participations,Produits des autres valeurs mobilières et créances de l’actif immobilisé,Autres intérêts et produits assimilés,Reprises sur provisions et transferts de charges financier,Différences positives de change,Produits nets sur cessions de valeurs mobilières de placement,Total des produits financiers,Dotations financières sur amortissements et provisions,Intérêts et charges assimilées,Différences négatives de change,Charges nettes sur cessions de valeurs mobilières de placement,Total des charges financières,Résultat financier,Résultat en cours avant impôts,Produits exceptionnels sur opérations de gestion,Produits exceptionnels sur opérations en capital,Reprises sur provisions et transferts de charges exceptionnel,Total des produits exceptionnels,Charges exceptionnelles sur opérations de gestion,Charges exceptionnelles sur opérations en capital,Dotations exceptionnelles aux amortissements et provisions,Total des charges exceptionnelles,Résultat exceptionnel,Participation des salariés aux résultats de l’entreprise,Impôts sur les bénéfices,Total des produits,Total des charges,Bénéfices ou perte (Total des produits ‐ Total des charges),Impôts différés (compte de résultat),Résultat net des sociétés mises en équivalence,Résultat net des entreprises intégrées,Résultat Groupe (Résultat net consolidé),Part des intérêts minoritaires (Résultat hors groupe),Résultat net part du groupe (part de la société mère),Rémunération d’intermédiaires et honoraires (hors rétrocessions),"Location, charges locatives et de copropriété",Effectif moyen du personnel,Sous‐traitance,Personnel extérieur à l’entreprise,"Rétrocessions d’honoraires, commissions et courtages",Taxe professionnelle,Montant de la TVA. collectée,Total TVA. déductible sur biens et services,Dividendes,siren,denomination,enthic,postal_code,town,ape,ape_name,ape_len,ape_division,ape_groupe,ape_classe,ape_sous_classe,ess_N° IDENTITE ENTREPRISE (SIREN),ess_RAISON SOCIALE,ess_ENSEIGNE,ess_SIGLE,ess_CP VILLE,ess_FORME JURIDIQUE,is_ess
45,2012,,,,147755,147755,,,,8068,,155823,,,,68,54236,1419,59203,24653,,139928,15895,,,13239,,86,,,,,,2,,,2,13323,29218,,,,,,,,,,,4383,169148,144313,24835,,,,,,,,,,,,,,,,,319673281,AGESTRA,1431,6600,ANTIBES,6311Z,"Traitement de données, hébergement et activités connexes",5,63,631,6311,6311Z,,,,,,,YANLIŞ
46,2012,,515001,,,515001,,,,,3,515004,241268,-15955,,,181003,2913,63726,23857,195,507986,7017,,,,,,,,,,,5309,,,5309,-5309,1708,,,,,1117,,,,-1117,,276,515004,514688,315,,,,,,,11404,99511,2,,,,2506,100940,28235,,319773172,BOB GERARD,212,75006,PARIS,4771Z,Commerce de détail d'habillement en magasin spécialisé,5,47,477,4771,4771Z,,,,,,,YANLIŞ
47,2012,,,,4576179,4576179,,,,,1,4576180,,,,,704817,359254,,,3,1661768,2914413,5290,,,,4368,,,,4368,,,,,26749,-22381,2897321,,,11730,11730,,,,1625,10105,,,4597569,1690142,2907427,,,,,,,,,,,,,,,,,320378144,SNC FONCIFLU,114,59650,VILLENEUVE-D ASCQ,6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B,,,,,,,YANLIŞ
48,2012,,485840064,,25736446,511576510,,1617453,357130,1894419,566472,516011985,135878879,,,,142325954,15221247,133661059,48170975,1148571,497587554,18424430,2907408,,,31765,339072,5463390,,,5834227,7007500,,17,,7171596,-1337369,19994469,2903403,1291482,7128976,11323862,180646,7304852,,16673453,-5349591,3670330,3945252,536077481,529048185,7029296,,,,,,,,,,,,,,,,,320772510,FLUNCH,1641,59650,VILLENEUVE-D ASCQ,5610B,Cafétérias et autres libres-services,5,56,561,5610,5610B,,,,,,,YANLIŞ
49,2012,,,6473173,,6473173,-12580,,,9618,960,,,,2985416,81444,1134571,101691,1241466,548573,,,,,,,,63883,,,,,,3926,,,,59957,304637,17584,,,17584,270,,,270,,,100229,,,,,,,,,,,,,,,,,,,,321111999,SOFEC,1566,30150,ROQUEMAURE,2030Z,"Fabrication de peintures, vernis, encres et mastics",5,20,203,2030,2030Z,,,,,,,YANLIŞ
50,2012,,106675,,,106675,,,,,257,,66312,11894,,,19770,648,234,,19,100768,6165,,,,,,,,,,,,,,,,6165,,,,,,,,,,,925,106933,101693,5240,,,,,,,,,,,,,,,,,322131830,S.A.R.L. REPLICAR,783,44000,NANTES,4765Z,Commerce de détail de jeux et jouets en magasin spécialisé,5,47,476,4765,4765Z,,,,,,,YANLIŞ
51,2012,,1856017,,9540,1865557,,,639,8977,,1875173,,53909,1219,744,131147,8625,280107,121813,,1827294,47880,,,,,4344,,,,4344,,,,,,4344,52224,,,,,1433,,,1433,1413,,10778,1882364,1839505,42859,,,,,,,,,,,,,,,,,322202250,ALTICOOP,636,6100,NICE,4764Z,Commerce de détail d'articles de sport en magasin spécialisé,5,47,476,4764,4764Z,,,,,,,YANLIŞ
52,2012,,,,2620175,2620175,,,,,3,2620177,,,,,245071,117138,,,2,778780,1841397,58636,,,,,,,,,,,,,32748,-32748,1867285,70,,,70,,,,452,-382,,,2678884,811981,1866903,,,,,,,,,,,,,,,,,322366600,FONCIPAI,114,59650,VILLENEUVE-D ASCQ,6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B,,,,,,,YANLIŞ
53,2012,,1233957,,8830,1242787,,,,180185,7,,821979,31478,323,,78734,10847,155253,70489,17114,1340178,82802,,,,,7547,,3413,,10960,,,2394,,2394,8566,91368,,,,45251,102029,,,102029,-56777,,5289,1479190,1449889,29302,,,,,,,28127,23135,5,,,,5022,82272,62304,,322566092,TRITRADE,97,75008,PARIS,4669B,Commerce de gros de fournitures et équipements industriels divers,5,46,466,4669,4669B,,,,,,,YANLIŞ
54,2012,,27590,741842,778268,1547699,-39590,145139,26317,,,1679566,,,331176,-19891,462718,21494,671108,293783,6295,1978211,-298645,,,,,,,,1532,13276,,,,,,13276,,2983,,185384,,9647,,,9647,178720,,-77952,1881209,1909905,,,,,,,,,,,,,,,,,,322983420,OVERLINE SYSTEMS,1466,33510,ANDERNOS LES BAINS,2630Z,Fabrication d'équipements de communication,5,26,263,2630,2630Z,,,,,,,YANLIŞ
55,2012,,,,,,,,,,,,,,,,540,2244,12000,3153,,23079,-23079,,,,,,,,,,,,,,,,-23079,,,,,,,,,,,,,23079,-23079,,,,,,,,,,,,,,,,,323790949,LE PETIT POUSSIN SARL FRANCE,1288,92130,ISSY LES MOULINEAUX,4642Z,Commerce de gros d'habillement et de chaussures,5,46,464,4642,4642Z,,,,,,,YANLIŞ
56,2012,,9150312,,450615,9600927,,,,60216,20,9661163,8099728,-169819,4603,,722514,37031,712310,,36,9723926,-62764,,,,101619,40997,,,,142616,,,,,14398,128218,65454,10473,15900,,26373,3468,3000,,6468,19904,,,9830152,9772705,57447,,,,,,,,,,,,,,,,,324081439,PARIS SCOOTER ACCESSOIRES,183,75017,PARIS,4540Z,Commerce et réparation de motocycles,5,45,454,4540,4540Z,,,,,,,YANLIŞ
57,2012,,102589,,1244605,1347195,,,,3374,,,76796,,,,438861,17837,116573,40470,1,891062,459507,,,,,6561,,,,,,4732,,,4732,1828,461336,34524,31354,,65878,7,14587,,14594,51284,,,1423010,910389,512621,,,,,,,17518,185993,5,,7010,,5635,121721,80786,,325114064,ESCALE DU PERTHUIS,1429,85360,LA TRANCHE SUR MER,5530Z,"Terrains de camping et parcs pour caravanes, véhicules de loisirs",5,55,553,5530,5530Z,,,,,,,YANLIŞ
58,2012,,,,492358,492358,,,,2083,402,494843,,,,,233164,6732,148072,69641,3446,488544,6299,,,,,,4972,,,4972,,,,,14991,-10019,-3720,169129,,,169129,7831,1078,,158909,10220,,-720,668944,661725,7220,,,,,,,,,,,,,,,,,325528057,ADH - SAINT CIRE,545,75005,PARIS,6910Z,Activités juridiques,5,69,691,6910,6910Z,,,,,,,YANLIŞ
59,2012,,,,468919,468919,,,,,,468919,,,,,212401,7715,61308,36667,,319475,149444,,,,,,,,24354,,,,,,,24354,173797,,,,,,,,,,,43482,493273,362957,130315,,,,,,,,,,,,,,,,,325931970,,,,,,,,,,,,,,,,,,YANLIŞ
60,2012,,,,65000,65000,,,,,3836,68836,,,,,14052,601,44466,3897,,63015,5821,,,,,2,,,,2,,6062,,,,-6060,-239,,,,,922,,,,-922,,,68838,69999,-1161,,,,,,,,,,,,,,,,,325932093,,,,,,,,,,,,,,,,,,YANLIŞ
61,2012,,24409108,13421,141780,24564309,,,1835,114008,3450,24683601,,-90890,57362,,2668732,251228,1551272,459302,23450,,-714247,,,,5000,,,,,,,22137,,,22137,-17137,-731383,14951,40000,55000,109951,,49136,10000,87398,22552,,-19864,24798552,25487519,-688967,,,,,,,,,,,,,,,,,326332483,DUMEL,155,76220,GOURNAY-EN-BRAY,4711D,Supermarchés,5,47,471,4711,4711D,,,,,,,YANLIŞ
62,2012,,,,1583722,1583722,,,3667,7869,3082,1598340,,,,,349308,21853,687609,309685,12865,1408195,190145,,,,,,,,3,,,10474,,,10474,-10471,179673,,9303,,9303,,915,,915,8388,,54338,1607646,1473922,133723,,,,,,,,,,,,,,,,,326638061,APSIS AUDIT,742,75016,PARIS,6920Z,Activités comptables,5,69,692,6920,6920Z,,,,,,,YANLIŞ
63,2012,,,219839,839916,1059755,-2872,,,6051,4107,1067042,,117,,,548145,5775,297744,92626,20786,966697,,,,,,5,,,,5,,,,,,5,,,,,,2812,,,2812,-2812,,,1067047,969510,,,,,,,,,,,,,,,,,,326715893,LES EDITIONS DE VERNEUIL,306,75009,PARIS,5814Z,Édition de revues et périodiques,5,58,581,5814,5814Z,,,,,,,YANLIŞ
64,2012,,1359135,,37158,1396293,,,,29112,,,716926,-67484,11892,,419779,6327,115204,22930,,1304889,120516,,,,,,,,,,,,,,,,120516,142,,,,398,,,398,-256,,33096,1425546,1338383,87164,,,,,,,,,,,,,,,,,326716040,VOGUE MODE,636,75008,PARIS,4764Z,Commerce de détail d'articles de sport en magasin spécialisé,5,47,476,4764,4764Z,,,,,,,YANLIŞ
65,2012,,,,,59336,,,,20000,,79336,,,18856,11278,24617,1712,16865,5977,24,85990,-6653,,,,,,,,334,334,,675,,,675,-341,-6994,,,,,45,,,,-45,,,79670,86710,-7039,,,,,,,,,,,,,,,,,326717543,BOISSELLERIE HOLLARD,141,88530,LE THOLY,1629Z,"Fabrication objets divers en bois, liège, vannerie et sparterie",5,16,162,1629,1629Z,,,,,,,YANLIŞ
66,2012,,,,997098,997098,,,,8400,460,1005958,110009,,2310,,406194,25238,320342,129885,1459,999923,6035,,,,,100,,,,100,,295,,,295,-194,5841,,,,98146,366,,,366,97780,,,,1000584,103622,,,,,,,,,,,,,,,,,326765914,RECIPROQUE NICOLE MOREL,1455,75016,PARIS,4779Z,Commerce de détail de biens d'occasion en magasin,5,47,477,4779,4779Z,,,,,,,YANLIŞ
67,2012,,,,29297,29297,,,,,,29297,,,,,10753,588,18300,2800,,33591,-4294,,,,,,,,,,,,,,,,-4294,,,,,,,,,,,,29297,33591,-4294,,,,,,,3240,423,,3036,,,588,6871,1621,,326923414,PROSOCIAL,314,94300,VINCENNES,7022Z,Conseil pour les affaires et autres conseils de gestion,5,70,702,7022,7022Z,,,,,,,YANLIŞ
68,2012,,25609,11621,1634,38864,843,,,,,39707,,-6643,340,,19608,,17990,2288,2395,,3157,,,,,,,,,,,,,,,,3157,81,,,81,,,,51,30,,,39788,36601,,,,,,,,,671,2,14023,,,,1766,1506,,326979770,CARISCRIPT,1016,75004,PARIS,5811Z,Édition de livres,5,58,581,5811,5811Z,,,,,,,YANLIŞ
69,2012,,,,119505,119505,,,,,,119505,,,,,26431,71,89908,35374,,151874,-32369,,,,,,,,,,,232,,,232,-232,-32601,1441,,,,,,,,1441,,,120946,152106,-31160,,,,,,,260,3545,2,,,,71,22292,19349,,327796124,RESIMMO,1010,75008,PARIS,6831Z,Agences immobilières,5,68,683,6831,6831Z,,,,,,,YANLIŞ
70,2012,,,,198729,198729,,,,,384,199113,,,,,29497,1965,105035,33553,23580,195597,3516,,,,,,,,,,,2144,,,2144,-2144,1371,,,,,,,,,,,206,199113,197948,1165,,,,,,,,,,,,,,,,,327822482,GESTION INFORMATIQUE ET ORGANISATION DES ENTREPRISES,1431,6600,ANTIBES,6311Z,"Traitement de données, hébergement et activités connexes",5,63,631,6311,6311Z,,,,,,,YANLIŞ
71,2012,,6781,,243726,250508,,,,,2177,252685,,,20856,1700,87347,,169504,52234,5,347172,-94487,,,,,71,,,,,,63,,,63,8,-94478,,,,,983,1524,,2507,-2507,,,252757,349743,-96986,,,,,,,,,,,,,,,,,327893228,SOCIETE BELMONTAISE DE MEUBLES,176,12370,BELMONT-SUR-RANCE,3109B,Fabrication autres meubles & industries connexes de l'ameublement,5,31,310,3109,3109B,,,,,,,YANLIŞ
72,2012,,,1227937,1446733,2674671,,,21791,24529,1012,2722002,,,415017,23712,1817840,10890,279478,124207,37,,7218,,,,129,533,,10,29042,,,137,25,,162,29553,36771,850,,,850,,618,,1090,-240,,-16183,2752566,2699853,52714,,,,,,,,,,,,,,,,,327977153,TECHNOLOGIE & DEVELOPPEMENT,754,77700,SERRIS,2660Z,Fab. éqpts d'irradiation médic. électromédic. & électrothérapeut.,5,26,266,2660,2660Z,,,,,,,YANLIŞ
73,2012,,2051756,-3118,227292,2275929,,,,16940,12811,2305680,,-160007,,,209653,23568,247632,65661,2212,2270487,,,,,,1,,,,,,6023,,,6023,-6022,29171,227,4916,,,352,3586,,3937,1207,,1733,2310825,2282181,28644,,,,,,,4450,72829,9,15163,,1441,4723,351068,313469,,328170337,GARAGE H. CHAPALAIN,118,22500,KERFOT,4511Z,Commerce de voitures et de véhicules automobiles légers,5,45,451,4511,4511Z,,,,,,,YANLIŞ
74,2012,,,108074,576817,684891,-35577,,,,127,649441,,,,,193964,4880,278194,145191,2,,19731,,,,,,,,,,,19118,,,,-19118,612,,,,,,,,,,,,649441,648828,,,,,,,,,,,,,,,,,,328223615,LIGHT CIBLES,973,75011,PARIS,7112B,"Ingénierie, études techniques",5,71,711,7112,7112B,,,,,,,YANLIŞ
75,2012,,,,743847,743847,,,4375,9290,1041,758553,,,223590,-874,138088,7748,216935,47484,1030,692502,66052,,,12595,,,,,,12595,16265,3359,,1915,21539,,57107,,,,,4514,,42431,46945,,,9270,771148,770256,893,,,,,,,,,,,,,,,,,328263371,MONTROSIER,992,92200,NEUILLY SUR SEINE,5610A,Restauration traditionnelle,5,56,561,5610,5610A,,,,,,,YANLIŞ
76,2012,,147752,,3744513,3892265,,,,16335,1745,,89639,278,59392,4865,2600809,42003,465522,194049,12003,3547049,363297,,,,,,,,26746,26746,14057,,,,16784,9962,373259,30,2000,,2030,,,,99440,-97410,,76459,3939123,3739733,199390,,,,,,,9502,131634,15,2320776,12506,,13874,764897,472252,,328398862,INFO-ROUTAGE,30,87000,LIMOGES,8219Z,Photocopie prépa. documents & aut. activ. spéc. soutien de bureau,5,82,821,8219,8219Z,,,,,,,YANLIŞ
77,2012,,,,371589,371589,,,,3947,5,375541,,,,,120401,1614,71470,27645,4523,262571,112971,,,,,,,,,,,,,,1832,-1832,111139,355,,,,,,,,355,,30182,375896,294584,81312,,,,,,,,,,,,,,,,,328612197,SOCIETE INFORMATIQUE LIBOURNAISE SIL,1431,33501,LIBOURNE,6311Z,"Traitement de données, hébergement et activités connexes",5,63,631,6311,6311Z,,,,,,,YANLIŞ
78,2012,,4227691,286602,60950,4575242,,,,88642,531,4664416,2374231,208875,,,764008,77516,703145,338715,36957,4771754,,,,,,219,,6272,144,6635,,35493,22303,,,-51161,-158500,1593,20000,,21593,95218,,,140241,-118648,,,4692644,4969792,-277148,,,,,,,,,,,,,,,,,328986849,ARIETE PRODUCTION,183,30100,ALES,4540Z,Commerce et réparation de motocycles,5,45,454,4540,4540Z,,,,,,,YANLIŞ
79,2012,,,,82393,82393,,,,,49148,131541,,,,,74867,2899,9485,-15300,3406,83595,47946,,,,,,,,,,,,,,,,,52304,,,52304,,159,1526,1684,,,,183845,85280,98565,,,,,,,,,,,,,,,,,329025365,PASTEL BODY PERFORMANCE,974,77330,OZOIR-LA-FERRI,8551Z,Enseignement de disciplines sportives et d'activités de loisirs,5,85,855,8551,8551Z,,,,,,,YANLIŞ
80,2012,,,,610339,610339,,,,12387,25,622751,,,,,163995,4562,263328,93694,46572,594588,28162,,,,,3198,,,,3198,,570,,,,2628,30791,266,,,266,4644,,,,-4378,,4772,626215,604573,21641,,,,,,,,,,,,,,,,,329922785,FIDECO FIDUCIAIRE D'ETUDE ET DE COMPTABILITE,742,6140,VENCE,6920Z,Activités comptables,5,69,692,6920,6920Z,,,,,,,YANLIŞ
81,2012,,,,,,,,,,,2406323,,,,,567316,137238,756645,315613,,2407523,-1200,,,,,,,,,,,,,,,,-1200,,843014,,843014,,,841814,841814,1200,,,3249337,3249337,,,,,,,,,,,,,,,,,,330430646,INTERNATIONAL YACHT CLUB D ANTIBES,1462,6600,ANTIBES,5222Z,Services auxiliaires des transports par eau,5,52,522,5222,5222Z,,,,,,,YANLIŞ
82,2012,,50852810,38138,433736,51324685,,,8192,469273,551485,52353636,40625488,122555,113126,,3422049,726019,3627892,1195228,15674,51696219,,,,13425,6075,4894,,,,24396,,,,,438825,-414429,242986,4213,16010,274464,294687,271330,9940,,305162,-10475,95099,49748,52672719,52585055,87664,,,,,,,,,157,,,,,,,,330598202,HERBIDIS,286,85505,LES HERBIERS CEDEX,4711F,Hypermarchés,5,47,471,4711,4711F,,,,,,,YANLIŞ
83,2012,,11290,,2828239,2839529,,10000,4000,23807,3,,,,776333,-809,726741,19483,588670,206010,46,2450947,426392,,,,1075,,,,12969,,,9620,,,9620,4423,430815,,13792,,13792,,1792,,2222,11570,,139493,2905175,2602283,302892,,,,,,,,,,,,,,,,,330714569,SIRE DRAINAGE,34,86370,VIVONNE,0161Z,Activités de soutien aux cultures,5,1,16,161,0161Z,,,,,,,YANLIŞ
84,2012,,,,,,,,,,,,,,,,6823,965,3535,1078,214,12736,-12736,,,7694,24882,8541,,,,41117,,,,,,41117,28381,,,,,,,,,,,2979,41117,15715,25402,,,,,,,6230,,,,,,,,,,331456012,2BR,306,75005,PARIS,5814Z,Édition de revues et périodiques,5,58,581,5814,5814Z,,,,,,,YANLIŞ
85,2012,,2451126,,73163,2524289,,,,5343,2494,2532126,2376948,,7359,,386152,2860,51705,17235,,2490106,42020,,,16,,,,,,16,,15194,,,15194,-15178,,687,,,,7795,,,7795,-7108,,,2532830,2513095,19734,,,,,,,9817,141515,2,63604,,10764,272,365111,114315,,331476671,MB YACHTING,636,13009,MARSEILLE,4764Z,Commerce de détail d'articles de sport en magasin spécialisé,5,47,476,4764,4764Z,,,,,,,YANLIŞ
86,2012,,,,8455,8455,,,,,1,8455,,,,,9714,71,,,1,9786,-1331,,,,,,,,,,,,,,,,,,,,,683,,,683,,,,8455,10469,-2014,,,,,,,,,,,,,,,,,331662916,SOCIETE D.D.M.,31,75011,PARIS,4644Z,"Commerce de gros de vaisselle, verrerie et produits d'entretien",5,46,464,4644,4644Z,,,,,,,YANLIŞ
87,2012,,,,46963286,46963286,,,,,311,46963597,,,,,41731763,206837,972855,417267,2776,43335871,3627726,,,,,120180,289458,23019,,432657,21269,5753,,,216287,216371,3844097,,,,,,,,98,-98,,1314549,47396255,44866805,2529450,,,,,,,,,,,,,,,,,331832675,INTERNATIONAL CHARTERING SYSTEMS S.A,915,75017,PARIS,5229B,Affrètement et organisation des transports,5,52,522,5229,5229B,,,,,,,YANLIŞ
88,2012,,,,276948,276948,2926,,363,2901,4,283142,,,,,157631,4925,77528,24442,828,274043,9099,,,,,,,,,,,,,,-11,11,9110,2014,7500,,9514,,14050,,15341,-5828,,,292656,289373,,,,,,,,,,,,,,,,,,332626860,LA MAISON DE L'IMMOBILIER,1010,30100,ALES,6831Z,Agences immobilières,5,68,683,6831,6831Z,,,,,,,YANLIŞ
89,2012,,6377609,,110678,6488287,,,,2596,3669,6494552,5308632,50159,3977,-4232,,52901,392389,118816,1942,6365546,129006,,,24131,,10157,,,,,,9083,,,9083,25205,154211,3252,42560,927,46739,16649,42560,91,59300,,,34268,6575580,6468198,107382,,,,,,,,,,,,,,,,,333072833,LYNEL'DO,155,44480,DONGES,4711D,Supermarchés,5,47,471,4711,4711D,,,,,,,YANLIŞ
90,2012,,,,5583840,5583840,,,,13308,149,5597298,,,2621,,2175688,177385,2420752,753456,31,5584294,13003,,,,,205,,,,205,,14283,,,,-14078,-1074,110,47525,,47636,17717,8973,,,20945,,,5645140,5625269,19870,,,,,,,15237,146667,102,5101,,,58301,1093977,367243,100000,333306801,ABEILLE RUSH,64,59350,SAINT-ANDRE-LEZ-LILLE,4941B,Transports routiers de fret de proximité,5,49,494,4941,4941B,,,,,,,YANLIŞ
91,2012,,,2121785,4793,2126579,-16258,,,1485,2,2111807,,,1054759,15217,271474,38119,424655,133344,549,1988294,,,,,,4,,,,4,,,,,8725,-8720,114793,,,,,,,,1,-1,,40208,2111812,,74585,,,,,,,,,,,,,,,,,333385037,PROMAREE SURGEL,0,85300,SALLERTAINE,1020Z,"Transform. & conserv. poisson, crustacés & mollusques",5,10,102,1020,1020Z,,,,,,,YANLIŞ
92,2012,,6132002,244614,392645,6769260,,,120,157506,,6926886,2064065,-6489,,-3713,,178401,2027013,677786,28827,7299675,,,,,,,,,,,,,,,45516,-45516,-418305,106369,287252,102923,496544,37310,210365,103876,351551,,,,7423430,7696742,-273312,,,,,,,,,,,,,,,,,333634160,SOGOOD,1457,59650,VILLENEUVE-D ASCQ,5610C,Restauration de type rapide,5,56,561,5610,5610C,,,,,,,YANLIŞ
93,2012,,,,,900061,,,3341,16140,62,919605,,,122849,-4436,230828,11556,371615,129220,21226,914230,5375,,,,,4053,,,,4053,,2836,,,2836,1216,6591,386,30836,,31222,970,24765,,25735,5487,,,954879,946152,8727,,,,,,,,,,,,,,,,,333821528,ENTREPRISE DE MECANIQUE GENERALE ET DE PEINTURE DITE E M G E,69,28110,LUCE,2561Z,Traitement et revêtement des métaux,5,25,256,2561,2561Z,,,,,,,YANLIŞ
94,2012,,,,413232,413232,,,,,748,413980,,,,,302224,8598,60436,13480,910,405560,8422,,,,,,,,,,,,,,,,8422,,,,,1262,,,1262,-1262,,,413980,406822,7160,,,,,,,,,,,,,,,,,334203999,GROUPEMENT INTERSERVICE ET CONSEIL EN EDITION ET EN PUBLICIT,306,75008,PARIS,5814Z,Édition de revues et périodiques,5,58,581,5814,5814Z,,,,,,,YANLIŞ
95,2012,,,,1785528,1785528,37466,,1300,29397,,1853691,,,623425,3667,295583,29694,672448,397792,2,2072901,-219210,,,,,1426,,,,,,5151,,,5151,-3725,-222934,469,46000,,,2956,,,2956,43513,,-1600,1901586,2079408,,,,,,,,,,,,,,,,,,334501335,ETABLISSEMENTS BELAUD-PRESTIGE,1643,16160,GOND PONTOUVRE,4391B,Travaux de couverture par éléments,5,43,439,4391,4391B,,,,,,,YANLIŞ
96,2012,,,,,,,,,,,,,,,,9369,,,,,9369,-9369,,,,,,,,,,,137,,,137,-137,-9506,,,,,,,,,,,,,9506,-9506,,,,,,,,,,,,,,,,,334515038,S.A.S. CHATEAUVIEUX,428,1160,NEUVILLE SUR AIN,8730A,Hébergement social pour personnes âgées,5,87,873,8730,8730A,,,,,,,YANLIŞ
97,2012,,,,29149,29149,,,,,,29149,,,,,24792,2120,,,,26912,2237,,,,,,,,,,,,,,3629,-3629,-1392,,,,,,,,,,,,29149,30541,-1392,,,,,,,,1346,,,,,2120,,3175,,334766599,AN'NOL FRANCE,688,75008,PARIS,1393Z,Fabrication de tapis et moquettes,5,13,139,1393,1393Z,,,,,,,YANLIŞ
98,2012,,4703945,,40381,4744326,,,1725,58112,,4804165,819770,,,-7920,943113,179505,1374727,537477,191887,4143355,660809,,,,,6135,,,,6135,,,,,1144,4991,665801,3642,,27698,31341,12988,14036,,68623,-37282,68627,197930,4841642,4479680,361961,,,,,,,,,,,,,,,,,335039145,LES BRASSEURS,362,59650,VILLENEUVE-D ASCQ,7010Z,Activités des sièges sociaux,5,70,701,7010,7010Z,,,,,,,YANLIŞ
99,2012,,,,,,,,,,,,,,,,7375,636,,,,8011,-8011,,,,,2,,,,2,,,,,,2,-8009,,,,,,,,,,,,2,-8011,-8009,,,,,,,,,,,,,,,,,338029994,MARINA INTERNATIONAL PROJECTS,1499,6270,VILLENEUVE-LOUBET,6810Z,Activités des marchands de biens immobiliers,5,68,681,6810,6810Z,,,,,,,YANLIŞ
100,2012,,,11055889,1008241,12064130,222928,,1000,79457,2433,12369948,,,3291719,4505,4122432,300984,2299197,984704,2992,,810102,,,,,4921,,,,,11241,65720,,,76961,-72039,738062,,3507,,83507,28196197,6197,,9016,74491,68388,230631,12458376,11944842,,,,,,,,501373,100300,68,1324822,872657,,103419,2231638,,581484,338224629,STAL INDUSTRIE,359,41200,ROMORANTIN-LANTHENAY,3101Z,Fabrication de meubles de bureau et de magasin,5,31,310,3101,3101Z,,,,,,,YANLIŞ
101,2013,,,,,,,,,,72320,72320,,,,,3009,6535,,,,10504,61816,,,,,,,,,,,,,,,,61816,,44374,,44374,,5777,,5777,38597,,33471,116694,49752,66942,,,,,,,,,,,,,,,,,5720651,RENE DUFOUR,114,69002,LYON,6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B,,,,,,,YANLIŞ
102,2013,,,1756488,291148,2047636,3883,,,68151,16,2119686,,,141427,1165,846181,32812,668893,325156,46353,2084346,,,,1813,,22379,,,,,,,,,,24192,59532,6454,217,,,340,345,,685,5986,,-25485,2150549,2059546,,,,,,,,,,,,,,,,,,5980016,SOCIETE NAZAIRIENNE DE MECANIQUE,777,44550,MONTOIR-DE-BRETAGNE,2562B,Mécanique industrielle,5,25,256,2562,2562B,,,,,,,YANLIŞ
103,2013,,65416,,1184440,1249855,,,,,101,1249956,64924,,,,,99607,103495,38608,,494794,755162,,,,,24293,,,,,,28515,,,28515,-4222,750940,,,,,,,,,,,,1274249,523309,750940,,,,,,,,,,,,,,,,,35720036,CAMP DU LOUBET,1431,6270,VILLENEUVE-LOUBET,6311Z,"Traitement de données, hébergement et activités connexes",5,63,631,6311,6311Z,,,,,,,YANLIŞ
104,2013,,363132,,212318,575451,,,,2972,66,578490,234747,,8400,,267844,15565,105398,36925,1,638418,-59927,,,,,,,,,,,207,,,207,-207,-60135,60000,,,60000,266,,,,59734,,-2848,638490,636044,2446,,,,,,,,,,,,,,,,,36820348,RIO FRANCE,636,6160,JUAN-LES-PINS,4764Z,Commerce de détail d'articles de sport en magasin spécialisé,5,47,476,4764,4764Z,,,,,,,YANLIŞ
105,2013,,3009942,53267,,3063208,,,2644,16875,38176,3120903,,,,,822268,22612,391520,126447,770,3038376,,,,,,,,,,260,,,,,9851,-9591,72936,,,,,,,,759,-759,,12834,3121163,3061820,59343,,,,,,,,,,,,,,,,,36920643,AZUREENNE DE FOURNITURES POUR L'AUTOMOBILE LA MARINE L'INDUS,816,6800,CAGNES SUR MER,4531Z,Commerce de gros d'équipements automobiles,5,45,453,4531,4531Z,,,,,,,YANLIŞ
106,2013,,,,112447,112447,,,,,90,112537,,,,,73509,521,24109,6790,200,111324,1213,,,,,,,,,,,,,,,,1213,,,,,90,,,90,-90,,,112537,111414,1123,,,,,,,5574,18279,1,,,,212,22613,6052,,37220852,BIOT SERVICES PLAISANCE,1382,6410,BIOT,3315Z,Réparation et maintenance navale,5,33,331,3315,3315Z,,,,,,,YANLIŞ
